"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","",""
"PHM","","","","","","","","","","","","","","","","","","","",""
"PHM","College Total","2618","3.385","44.2","16.2","20.9","9.3","6.0","0.7","0.3","2.1","",".",".",".","0.2","0.2",".",".","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","NW","NR","Other"
"PHM","","Grades","GPA","","","","","","","","","","","","","","","","",""
"Sophomore","","5","3.917","80.0","20.0",".",".",".",".",".",".","",".",".",".",".",".",".",".","."
"Junior","","21","3.191","33.3","9.5","33.3","23.8",".",".",".",".","",".",".",".",".",".",".",".","."
"Senior","","89","3.279","39.3","11.2","31.5","7.9","7.9","1.1","1.1",".","",".",".",".",".",".",".",".","."
"Undergraduates","","115","3.291","40.0","11.3","30.4","10.4","6.1","0.9","0.9",".","",".",".",".",".",".",".",".","."
"Special","","5","2.625","40.0",".",".","20.0","20.0","20.0",".",".","",".",".",".",".",".",".",".","."
"Graduate","","165","3.858","54.5","4.2","3.6",".","0.6",".",".","32.7","",".",".",".","3.6","0.6",".",".","."
"Prof Yr 1","","434","2.976","39.4","13.6","18.4","16.8","10.1","1.6",".",".","",".",".",".",".",".",".",".","."
"Prof Yr 2","","906","3.222","34.2","21.6","25.5","10.9","6.5","0.3","0.6",".","",".",".",".",".","0.3",".",".","."
"Prof Yr 3","","711","3.341","46.6","16.3","23.1","7.0","6.0","0.7","0.1","0.1","",".",".",".",".",".",".",".","."
"Prof Yr 4","","282","3.792","73.0","11.7","11.0","3.2","0.4","0.7",".",".","",".",".",".",".",".",".",".","."
"Professionals","","2333","3.378","43.6","17.3","21.7","9.9","6.3","0.7","0.3","0.0","",".",".",".",".","0.1",".",".","."
"","College Total","2618","3.385","44.2","16.2","20.9","9.3","6.0","0.7","0.3","2.1","",".",".",".","0.2","0.2",".",".","."
