"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"952
AHABS","","","","","","","","","","","","","","","","","","","",""
"","990
086","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","56","",".",".",".",".",".","",".",".","91.1",".",".",".","8.9",".",".",".","."
"AHABS
952","Dept. Total","128","3.287","27.3","6.3","14.8","1.6","1.6","",".","2.3","39.8",".",".",".","5.5","0.8",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"952
AHABS","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","3.500",".","100.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Junior","","5","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Senior","","27","2.788","25.9","7.4","40.7","7.4","7.4","",".","11.1",".",".",".",".",".",".",".",".","."
"Undergraduates","","33","2.983","36.4","9.1","33.3","6.1","6.1","",".","9.1",".",".",".",".",".",".",".",".","."
"Special","","1","3.500",".","100.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Graduate","","93","3.632","24.7","4.3","8.6",".",".","",".",".","53.8",".",".",".","7.5","1.1",".",".","."
"Prof Yr 1","","1","",".",".",".",".",".","",".",".","100.0",".",".",".",".",".",".",".","."
"Professionals","","1","",".",".",".",".",".","",".",".","100.0",".",".",".",".",".",".",".","."
"","Dept. Total","128","3.287","27.3","6.3","14.8","1.6","1.6","",".","2.3","39.8",".",".",".","5.5","0.8",".",".","."
