"HUMAN ONCOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"480
H ONCOL","","","","","","","","","","","","","","","","","","","",""
"410
Radiobiology","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Ind Stdy-Hum Cancer Bio","150","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"922","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Radiation Oncology-CSC","Course Total","","7","3.938","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch in Human Cancer Bio","Course Total","","2","***","","","","","","","","","","","","","","","",""
