"GEOLOGY & GEOPHYSICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","","",""
"","100","001","134","3.578","61.9","14.2","14.9","3.0","3.0","2.2","0.7",".",".",".",".",".",".",".",".","."
"","100","002","133","3.248","12.8","46.6","28.6","9.0","0.8","0.8","1.5",".",".",".",".",".",".",".",".","."
"General Geology","","Course Total","267","3.414","37.5","30.3","21.7","6.0","1.9","1.5","1.1",".",".",".",".",".",".",".",".","."
"General Geology","101","001","37","2.833","13.5","2.7","59.5","2.7","10.8","5.4","2.7","2.7",".",".",".",".",".",".",".","."
"Elementary Geology Lab","102","003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey of Oceanography","105","001","22","2.549","4.5","9.1","45.5","13.6","9.1","18.2",".",".",".",".",".",".",".",".",".","."
"Environmental Geology","106","001","69","3.123","24.6","15.9","34.8","14.5","7.2","2.9",".",".",".",".",".",".",".",".",".","."
"Life of the Past","107","001","53","2.840","18.9","17.0","18.9","26.4","9.4","7.5","1.9",".",".",".",".",".",".",".",".","."
"Volcanoes and Civilization","111","001","187","3.492","49.2","18.2","17.6","9.1","3.7",".","0.5","1.6",".",".",".",".",".",".",".","."
"Mountains and Moving Plates","112","001","106","2.490","11.3","5.7","28.3","10.4","25.5","10.4","3.8","2.8",".",".",".",".",".","1.9",".","."
"Sci Behind News-Wrld Around Us","115","001","253","2.923","13.4","17.8","29.6","17.8","10.7","1.6","1.6","6.7","0.4",".",".",".",".","0.4",".","."
"Directed Study","198","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","199","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Earth Materials","203","001","31","2.839","22.6","16.1","29.0","9.7","6.5","12.9","3.2",".",".",".",".",".",".",".",".","."
"Geologic Evolution of Earth","204","001","34","2.941","20.6","17.6","29.4","11.8","14.7","2.9","2.9",".",".",".",".",".",".",".",".","."
"Geobiology","304","001","16","2.750","12.5","18.8","25.0","18.8","18.8",".","6.3",".",".",".",".",".",".",".",".","."
"Landforms-Topics & Regions","326","001","16","2.625","6.3","6.3","31.3","18.8","37.5",".",".",".",".",".",".",".",".",".",".","."
"Gems: Sci Behind the Sparkle","331","001","399","3.255","23.1","29.6","24.8","11.8","5.5","1.3","0.3","3.5",".",".",".",".",".",".",".","0.3"
"The Age of Dinosaurs","333","001","401","2.861","15.0","14.2","34.4","8.0","13.5","5.0","2.5","7.0",".",".",".",".",".",".","0.2","0.2"
"","376","001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376","002","11","3.850","72.7","9.1","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Topics in Geology","","Course Total","24","3.895","87.5","4.2","4.2",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Structural Geology","455","001","31","3.217","22.6","25.8","25.8","16.1","6.5",".",".",".",".",".",".",".",".",".","3.2","."
"Geologic Field Methods","456","001","13","3.308","30.8","38.5","7.7","7.7","15.4",".",".",".",".",".",".",".",".",".",".","."
"Conducted Field Trip","457","001","15","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Quaternary Period","527","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Resources From Space","533","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Mountain Belts","556","001","16","3.692","43.8","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","18.8","."
"Contaminant Hydrogeology","629","001","10","3.450","30.0","30.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interfacial Biogeochemistry","675","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","5","***","","","","","","","","","","","","","","","",""
"","699","013","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Advanced Hydrogeology","727","001","14","3.750","57.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
