"GERMAN","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","",""
"","101
001","13","3.577","61.5","7.7","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","101
002","19","3.306","31.6","26.3","31.6",".",".",".","5.3","5.3",".",".",".",".",".",".",".","."
"","101
003","21","3.714","71.4","9.5","14.3",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","004
101","19","3.639","63.2","10.5","10.5","5.3","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"","101
005","15","3.643","60.0","6.7","20.0","6.7",".",".",".","6.7",".",".",".",".",".",".",".","."
"First Semester German","Course Total","87","3.577","57.5","12.6","19.5","2.3","3.4",".","1.1","3.4",".",".",".",".",".",".",".","."
"","102
001","21","3.500","47.6","19.0","23.8","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","002
102","15","3.700","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","20","3.316","30.0","40.0","15.0",".","5.0",".","5.0","5.0",".",".",".",".",".",".",".","."
"","004
102","23","3.717","65.2","13.0","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","18","3.722","66.7","22.2","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","006
102","13","3.808","76.9","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester German","Course Total","110","3.615","55.5","22.7","16.4","0.9","2.7",".","0.9","0.9",".",".",".",".",".",".",".","."
"Second Semester Dutch","112
001","12","3.708","66.7","8.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001","19","3.500","36.8","36.8","10.5","5.3","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"","203
002","19","3.632","52.6","21.1","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
003","19","3.237","36.8","15.8","21.1","10.5","15.8",".",".",".",".",".",".",".",".",".",".","."
"Third Semester German","Course Total","57","3.455","42.1","24.6","19.3","5.3","7.0",".",".","1.8",".",".",".",".",".",".",".","."
"","204
001","19","3.316","31.6","26.3","21.1","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"","002
204","23","3.826","78.3","8.7","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
204","19","3.342","42.1","21.1","21.1","5.3","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"Fourth Semester German","Course Total","61","3.516","52.5","18.0","18.0","6.6","3.3","1.6",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Dutch","214
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","221
001","14","3.393","35.7","21.4","35.7",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","221
002","12","3.864","75.0","8.3","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Intro-German Lit & Culture I","Course Total","26","3.600","53.8","15.4","23.1",".","3.8",".",".","3.8",".",".",".",".",".",".",".","."
"Intro-German Lit & Culture II","222
001","14","3.464","35.7","21.4","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225
001","15","3.179","20.0","26.7","26.7","6.7","13.3",".",".","6.7",".",".",".",".",".",".",".","."
"","002
225","16","3.400","31.3","25.0","31.3",".","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"","225
003","13","3.462","23.1","46.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Composition & Conversatn I","Course Total","44","3.345","25.0","31.8","29.5","2.3","6.8",".",".","4.5",".",".",".",".",".",".",".","."
"","226
001","17","3.519","58.8","17.6","11.8",".","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"","226
002","20","3.659","60.0","20.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Composition & Conversatn II","Course Total","37","3.597","59.5","18.9","13.5","2.7","2.7","2.7",".",".",".",".",".",".",".",".",".","."
"","274
000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","274
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to German Literature","Course Total","6","2.889","66.7",".",".",".","16.7",".","16.7",".",".",".",".",".",".",".",".","."
"Topics in German Culture","278
001","88","3.415","28.4","39.8","23.9","2.3","5.7",".",".",".",".",".",".",".",".",".",".","."
"Honors Intro to German Lit","284
001","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honor Colloq for German 284","285
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","299
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Literatur des 18. Jahrhunderts","302
001","9","3.310","33.3","22.2","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".","11.1","."
"2nd Sem Dutch-Grad Stdts","312
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
