"TERM : 1044","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2003-2004","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","",""
"EDUCATIONAL POLICY STUDIES Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"ED POL
Dept. Total
310","366","3.593","46.7","19.9","12.0","3.8","3.0","",".","0.3","8.7","0.3",".","",".","1.1","3.0","0.8","0.3","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","",""
"Sophomore","7","3.143","14.3","14.3","57.1","14.3",".","",".",".",".",".",".","",".",".",".",".",".","."
"Junior","105","3.456","44.8","22.9","18.1","5.7","5.7","",".","1.0",".",".",".","",".",".","1.0","1.0",".","."
"Senior","86","3.463","40.7","27.9","17.4","8.1","4.7","",".",".",".",".",".","",".",".",".",".","1.2","."
"Undergraduates","198","3.448","41.9","24.7","19.2","7.1","5.1","",".","0.5",".",".",".","",".",".","0.5","0.5","0.5","."
"Special","13","3.667","46.2","30.8","15.4",".",".","",".",".",".",".",".","",".",".","7.7",".",".","."
"Graduate","155","3.850","52.9","12.9","2.6",".","0.6","",".",".","20.6","0.6",".","",".","2.6","5.8","1.3",".","."
"Dept. Total","366","3.593","46.7","19.9","12.0","3.8","3.0","",".","0.3","8.7","0.3",".","",".","1.1","3.0","0.8","0.3","."
