"ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
001","","10","3.600","90.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"","170
002","","15","3.867","86.7","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","003
170","","13","3.708","46.2","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".","7.7","."
"","170
004","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
170","","15","3.733","73.3","13.3",".","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Laboratory","Course Total","","69","3.801","79.7","11.6","1.4","4.3",".",".","1.4",".",".",".",".",".",".",".","1.4","."
"Electrodynamics I","220
001","","106","3.495","59.4","14.2","15.1",".","7.5","1.9","1.9",".",".",".",".",".",".",".",".","."
"Circuit Analysis","230
001","","117","3.034","24.8","23.1","28.2","6.0","6.0","12.0",".",".",".",".",".",".",".",".",".","."
"","001
270","","14","3.846","64.3","28.6",".",".",".",".",".",".",".",".",".",".",".","7.1",".","."
"","270
002","","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","270
003","","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","270
005","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","270
006","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
270","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","270
009","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory I","Course Total","","87","3.901","79.3","19.5",".",".",".",".",".",".",".",".",".",".",".","1.1",".","."
"","271
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","271
002","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
271","","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
004","","14","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
006","","6","3.583","66.7",".","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory II","Course Total","","53","3.802","75.5","15.1","5.7","1.9","1.9",".",".",".",".",".",".",".",".",".",".","."
"Trans Lines & Netwks Lab","301
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Electric Machines Lab","304
001","","17","3.559","47.1","17.6","35.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
001","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Semiconductr Properties Lab","Course Total","","20","3.825","70.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Active Circuits Lab","306
001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonlinear Elec Circuits Lab","308
001","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
003","","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
004","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Optoelectronics Lab","Course Total","","32","3.813","68.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001","","13","3.731","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
002","","10","3.650","60.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","315
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Microprocessor Lab","Course Total","","27","3.648","55.6","22.2","18.5","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Sensors Laboratory","001
317","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics II","320
001","","56","2.884","17.9","28.6","21.4","16.1","3.6","5.4","7.1",".",".",".",".",".",".",".",".","."
"Transmission Lines-Digitl Appl","321
001","","14","3.643","78.6","14.3",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Signals and Systems","330
001","","67","2.933","19.4","19.4","26.9","9.0","20.9","3.0","1.5",".",".",".",".",".",".",".",".","."
