"MICROBIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","","",""
"101
General Microbiology","001","","223","2.677","8.5","10.8","30.0","24.2","21.5","2.2","2.7",".",".",".",".",".",".",".",".","."
"102","001","","30","3.200","16.7","43.3","23.3","10.0","3.3",".","3.3",".",".",".",".",".",".",".",".","."
"102","002","","31","3.790","64.5","29.0","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"102","003","","31","3.468","35.5","35.5","19.4","6.5","3.2",".",".",".",".",".",".",".",".",".",".","."
"General Microbiology Lab","Course Total","","92","3.489","39.1","35.9","16.3","5.4","2.2",".","1.1",".",".",".",".",".",".",".",".","."
"299","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","072","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299","076","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"303
Procaryotic Microbiology","001","","265","2.922","17.7","16.6","29.8","12.5","19.2","3.0","0.8",".",".",".",".",".",".","0.4",".","."
"304","001","","33","3.182","18.2","24.2","51.5",".","3.0",".","3.0",".",".",".",".",".",".",".",".","."
"304","002","","33","3.545","45.5","18.2","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"304","003","","32","3.125","15.6","12.5","56.3","12.5","3.1",".",".",".",".",".",".",".",".",".",".","."
"Procaryotic Microbiol Lab","Course Total","","98","3.286","26.5","18.4","48.0","4.1","2.0",".","1.0",".",".",".",".",".",".",".",".","."
"330
Host-Parasite Interactions","001","","34","3.500","41.2","23.5","26.5","2.9","2.9",".",".","2.9",".",".",".",".",".",".",".","."
"370
Bacterial Genetics","001","","59","2.905","28.8",".","32.2","11.9","20.3","3.4","1.7",".",".",".",".",".",".",".","1.7","."
"425
Environmental Microbiology","001","","9","2.444",".","33.3",".","11.1","44.4","11.1",".",".",".",".",".",".",".",".",".","."
"523
Soil Microbiology & Biochem","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"525
Comp Ecol-Mic&Macroorganism","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"531
Undergraduate Seminar","001","","29","3.879","79.3","17.2","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"545
Topics in Biotechnology","001","","40","3.763","72.5","22.5","2.5",".",".",".","2.5",".",".",".",".",".",".",".",".","."
"550
Physiol Divrsty-Procaryotes","001","","51","3.088","19.6","23.5","25.5","17.6","13.7",".",".",".",".",".",".",".",".",".",".","."
"551","001","","11","3.318","27.3","9.1","63.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"551","002","","15","3.000","13.3","26.7","26.7","13.3","20.0",".",".",".",".",".",".",".",".",".",".","."
"551","003","","20","3.100","25.0","10.0","40.0","10.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"Physiol Dvrsty-Procryot Lab","Course Total","","46","3.120","21.7","15.2","41.3","8.7","13.0",".",".",".",".",".",".",".",".",".",".","."
"632
Indus Microbiol/Biotechnlgy","001","","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"650
Adv Microbiol/Food Pathgens","001","","7","3.071","42.9","14.3","14.3",".","14.3","14.3",".",".",".",".",".",".",".",".",".","."
"682","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"692","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
