"L&S","","","","","","","","","","","","","","","","","","","","",""
"GEOGRAPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","","",""
"GEOG
416","Dept. Total","1484","3.168","28.4","21.0","21.5","10.6","9.6","2.5","0.8","3.4","",".","0.4","",".","0.9","0.3","0.5","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","154","2.838","14.9","20.1","21.4","20.1","14.9","8.4",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","327","3.061","19.3","24.5","27.8","11.6","12.2","2.1","1.2",".","",".","0.6","",".",".",".","0.6",".","."
"Junior","","326","3.157","30.4","17.8","24.5","12.9","10.4","1.5","1.2","0.3","",".","0.3","",".",".",".","0.6",".","."
"Senior","","441","3.152","28.6","22.2","22.7","9.5","10.4","2.7","0.9","2.3","",".",".","",".",".",".","0.7",".","."
"Undergraduates","","1248","3.090","24.9","21.4","24.4","12.3","11.5","3.0","1.0","0.9","",".","0.2","",".",".",".","0.6",".","."
"Special","","34","3.669","50.0","23.5","8.8","5.9",".",".",".","2.9","",".","5.9","",".",".",".",".","2.9","."
"Graduate","","202","3.756","46.5","17.8","5.9","1.0",".",".",".","18.8","",".","0.5","",".","6.9","2.5",".",".","."
"","Dept. Total","1484","3.168","28.4","21.0","21.5","10.6","9.6","2.5","0.8","3.4","",".","0.4","",".","0.9","0.3","0.5","0.1","."
