"","990
014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
018","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","15","",".",".",".",".",".",".",".","20.0",".",".",".","80.0",".",".",".","."
"ART HIST
180","Dept. Total","1198","3.330","32.0","27.4","17.3","8.3","4.6","1.3","1.5","4.6","0.1",".",".","1.0","0.4","0.6","0.8","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","",""
"Freshmen","","79","3.357","27.8","35.4","24.1","7.6","3.8","1.3",".",".",".",".",".",".",".",".",".","."
"Sophomore","","207","3.400","38.2","27.1","17.4","8.2","4.3","1.4","1.0","0.5",".",".",".",".","0.5","1.4",".","."
"Junior","","308","3.233","29.5","30.8","17.2","10.4","6.2","1.0","3.2","1.3","0.3",".",".",".",".",".",".","."
"Senior","","449","3.284","30.5","27.8","17.1","9.8","4.9","2.0","1.3","5.1",".",".",".",".","0.7",".","0.4","0.2"
"Undergraduates","","1043","3.301","31.5","29.1","17.7","9.5","5.1","1.5","1.7","2.7","0.1",".",".",".","0.4","0.3","0.2","0.1"
"Special","","52","3.663","15.4","11.5","3.8",".","3.8",".",".","44.2",".",".",".",".",".","5.8","15.4","."
"Graduate","","102","3.641","45.1","17.6","19.6","1.0",".",".",".","3.9",".",".",".","11.8","1.0",".",".","."
"Prof Yr 2","","1","",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".","."
"Professionals","","1","",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0",".","."
"","Dept. Total","1198","3.330","32.0","27.4","17.3","8.3","4.6","1.3","1.5","4.6","0.1",".",".","1.0","0.4","0.6","0.8","0.1"
