"SOIL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"908
SOIL SCI","","","","","","","","","","","","","","","","","","","",""
"132
Earth Water:Nat Sci&Hum Use","001","","30","3.317","50.0","16.7","23.3",".",".","3.3","6.7",".",".",".",".",".",".",".",".","."
"301
General Soil Science","001","","39","2.961","28.2","15.4","30.8","2.6","10.3","2.6","7.7","2.6",".",".",".",".",".",".",".","."
"315
Soil Sci-Land Use Planning","001","","43","3.267","25.6","30.2","16.3","27.9",".",".",".",".",".",".",".",".",".",".",".","."
"321
Soils and Environmental Chem","001","","12","3.417","33.3","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"322
Phys Princ-Soil & Water Mgt","001","","20","3.450","55.0","20.0","15.0",".","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"326
Plant Nutrition Management","001","","19","2.974","36.8","21.1","10.5","5.3","10.5","10.5","5.3",".",".",".",".",".",".",".",".","."
"333
Nutrnt Mgmnt:Hortcltr Crops","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"425
Environmental Microbiology","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"428
Senior Seminar","001","","22","3.750","86.4","4.5","4.5",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"523
Soil Microbiology & Biochem","001","","11","3.636","63.6",".","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"575
Assessment-Environ Impact","001","","11","3.409","45.5","18.2","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","9","2.643",".","11.1","33.3",".","33.3",".",".","22.2",".",".",".",".",".",".",".","."
"621
Soil Chemistry","001","","10","3.400","30.0","50.0",".","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"695
Applictn of GIS:Natrl Rsrcs","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","3","***","","","","","","","","","","","","","","","",""
"728
Graduate Seminar","001","","18","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"799
Pract-Soil Science Teaching","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","11","3.783","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","29","",".",".",".",".",".",".",".","79.3",".",".",".","20.7",".",".",".","."
