"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"IES","","","","","","","","","","","","","","","","","","","",""
"ENVIR ST - GAYLORD NELSON I","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Forum on the Environment","101","001","28","3.988","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Geology","106","001","47","2.883","17.0","21.3","21.3","23.4","6.4","10.6",".",".",".",".",".",".",".",".",".","."
"Envir St-Social Perspective","112","001","200","3.704","67.0","21.0","6.0","3.0",".","1.5","1.0","0.5",".",".",".",".",".",".",".","."
"","120","001","28","3.107","28.6","14.3","32.1","7.1","14.3","3.6",".",".",".",".",".",".",".",".",".","."
"","120","002","27","3.111","18.5","25.9","33.3","11.1","7.4","3.7",".",".",".",".",".",".",".",".",".","."
"Global Phys Environments","","Course Total","55","3.109","23.6","20.0","32.7","9.1","10.9","3.6",".",".",".",".",".",".",".",".",".","."
"Principles-Envrnmtl Science","126","001","36","3.792","75.0","11.1","11.1","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"","127","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","127","002","14","2.714","14.3","14.3","7.1","42.9","14.3","7.1",".",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","","Course Total","16","2.875","25.0","12.5","6.3","37.5","12.5","6.3",".",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","31","3.339","41.9","16.1","16.1","19.4","6.5",".",".",".",".",".",".",".",".",".",".","."
"Intro-Aerial Photo Systems","301","001","15","3.600","53.3","26.7","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Elec-op&Micro Remote Sensng","302","001","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Remote Sensng Digtl Image","303","001","6","2.900","33.3","16.7","16.7",".",".",".","16.7",".",".",".",".",".",".","16.7",".","."
"Remote Sensng Vis Image&GIS","304","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"People, Chemicals, Envrnmnt","308","001","78","3.597","52.6","17.9","23.1","5.1",".",".",".","1.3",".",".",".",".",".",".",".","."
"","339","001","57","2.895","17.5","12.3","28.1","22.8","17.5",".","1.8",".",".",".",".",".",".",".",".","."
"","339","002","54","2.760","16.7","7.4","29.6","9.3","29.6","1.9","1.9","1.9",".",".",".",".",".","1.9",".","."
"Environmental Conservation","","Course Total","111","2.830","17.1","9.9","28.8","16.2","23.4","0.9","1.8","0.9",".",".",".",".",".","0.9",".","."
"Environment&Global Economy","344","001","33","3.015","21.2","24.2","15.2","21.2","15.2","3.0",".",".",".",".",".",".",".",".",".","."
"Wetlands Ecology","361","001","27","2.865","11.1","25.9","29.6","14.8","7.4",".","7.4",".",".",".",".",".","3.7",".",".","."
"Intro to Geog Info Systems","377","001","7","3.429","57.1",".","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"","400","001","27","3.833","70.4","25.9","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","002","34","2.143","8.8","11.8","11.8","14.7","26.5","8.8","14.7","2.9",".",".",".",".",".",".",".","."
"","400","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics-Environ Studies","","Course Total","62","2.840","35.5","17.7","8.1","9.7","14.5","4.8","8.1","1.6",".",".",".",".",".",".",".","."
"Digital Orthophotography","405","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Environmental Ethics","441","001","31","3.143","32.3","19.4","16.1",".","16.1","6.5",".","9.7",".",".",".",".",".",".",".","."
"Environmental Sys Concepts","461","001","12","3.333","41.7","8.3","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Ecology of Fishes","510","001","6","3.400","50.0",".","16.7",".","16.7",".",".","16.7",".",".",".",".",".",".",".","."
"Ecology of Fishes Lab","511","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Philos Prblms-Biol Sciences","523","001","10","3.150","10.0","40.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".","."
"Remote Sensing Digitl Image","556","001","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assessment-Environ Impact","575","001","21","3.275","9.5","47.6","28.6","4.8","4.8",".",".",".",".",".",".",".","4.8",".",".","."
"","600","001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","002","11","3.500","27.3","63.6",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","600","003","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir Studies Cert Seminar","","Course Total","38","3.855","78.9","18.4",".",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"Conservation Biology","651","001","12","3.833","91.7",".",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Decisn Meth-Nat Resrc Mangr","652","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Energy Economics","671","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 152 of 396",""
