"URBAN AND REGIONAL PLANNI","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","",""
"305
Introduction to the City","001","","35","3.610","42.9","28.6","5.7","8.6",".",".",".","14.3",".",".",".",".",".",".",".","."
"306
The Real Estate Process","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"312
Regional Develop & Planning","001","","15","2.964","13.3","26.7","20.0","20.0","6.7","6.7",".","6.7",".",".",".",".",".",".",".","."
"463
Evolution-American Planning","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"505
Urban Spatial Patterns&Thry","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"506
Hist Geog-European Urbanztn","001","","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"520
Community Economic Analysis","001","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"544
Intro to Survey Research","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"590","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"590","002","","14","3.231",".","42.9","50.0",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Contemp Topics-Urb & Reg Pl","Course Total","","18","3.235","5.6","44.4","38.9",".","5.6",".",".",".",".",".",".",".","5.6",".",".","."
"601
Site Planning","001","","19","3.526","31.6","42.1","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"699
Directed Study","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"720
Urban Economics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"731
Intro to Regional Planning","001","","16","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"751
Intro to Financial Planning","001","","25","3.630","24.0","68.0",".",".",".",".",".","8.0",".",".",".",".",".",".",".","."
"781
Planning Thought & Practice","001","","21","3.786","76.2","14.3","4.8",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"814
Envir & Alt Dispute Resolution","001","","23","3.841","65.2","30.4",".",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"890
Fed Budget&Tax Policy&Admin","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"912
Planning Workshop","001","","30","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"932
Smr-Rsch Review & Criticism","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"955
Practical Rsch Design&Inquiry","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","8","",".",".",".",".",".",".",".","75.0",".",".",".","25.0",".",".",".","."
"999","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","8","3.722","62.5","12.5","12.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
