"COMPUTER SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"559
Computer Graphics","001","","56","3.139","28.6","26.8","25.0","3.6","5.4",".","7.1","1.8",".",".",".",".",".","1.8",".","."
"564
Database Mgt Systems","001","","50","3.173","42.0","4.0","38.0",".","12.0",".","4.0",".",".",".",".",".",".",".",".","."
"577","001","","71","3.683","77.5","7.0","5.6","2.8","2.8","4.2",".",".",".",".",".",".",".",".",".","."
"577","002","","58","3.724","77.6","6.9","8.6","3.4","1.7",".","1.7",".",".",".",".",".",".",".",".","."
"Introduction to Algorithms","Course Total","","129","3.702","77.5","7.0","7.0","3.1","2.3","2.3","0.8",".",".",".",".",".",".",".",".","."
"640
Intro to Computer Networks","001","","30","3.067","20.0","20.0","36.7","6.7","13.3","3.3",".",".",".",".",".",".",".",".",".","."
"642
Intro to Information Security","001","","24","3.457","50.0","12.5","25.0",".","4.2","4.2",".","4.2",".",".",".",".",".",".",".","."
"682","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","067","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","13","3.636","92.3",".",".",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"704
Princ of Programming Langs","001","","26","3.538","46.2","15.4","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"720
Integer Programming","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"730
Nonlinear Progm Algorithms","001","","18","3.588","33.3","44.4","16.7",".",".",".",".",".","5.6",".",".",".",".",".",".","."
"733
Comput Meths-Lg Sparse Sys","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"736
Advanced Operating Systems","001","","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"739
Distributed Systems","001","","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"740
Advanced Computer Networks","001","","20","3.625","55.0","15.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"747
Adv Cmputr Sys Anal Techniq","001","","6","3.800","50.0","33.3",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"750
Real-time Computing Systems","001","","8","3.625","62.5",".","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"752
Adv Computer Architecture I","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"757
Adv Computr Architecture II","001","","16","3.563","43.8","25.0","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"764
Topics-Database Mgt Systems","001","","15","3.600","46.7","40.0","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"773
Prob-Computatnl Linguistics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"776
Advanced Bioinformatics","001","","12","3.667","50.0","41.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"777
Computer Animation","001","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"784
Data Models and Languages","001","","23","3.630","47.8","30.4","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 188 of 396",""
