"ENGLISH","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","","",""
"Techniques&Materials for TESOL","335","001","","12","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"English in Society","336","001","","32","3.859","78.1","15.6","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","337","001","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","337","002","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","337","003","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"TESOL Workshops","","Course Total","","35","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intro to Children's Literature","354","001","","88","3.581","53.4","25.0","9.1","6.8","1.1","2.3",".","2.3",".",".",".",".",".",".",".","."
"Chaucer's Canterbury Tales","367","001","","28","3.625","42.9","39.3","17.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eng Drama Pre Shakespeare","411","001","","42","3.798","73.8","11.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Shakespeare","417","001","","28","2.596","10.7","10.7","21.4","21.4","14.3","14.3",".",".",".",".",".",".","3.6",".","3.6","."
"Shakespeare","418","001","","31","2.645","16.1","16.1","12.9","22.6","19.4","9.7","3.2",".",".",".",".",".",".",".",".","."
"English Novel: 18th Cent","459","001","","41","3.213","24.4","9.8","53.7","2.4","7.3",".",".",".",".",".",".",".",".",".","2.4","."
"English Novel: 19th Cent","460","001","","29","3.276","20.7","27.6","41.4","6.9","3.4",".",".",".",".",".",".",".",".",".",".","."
"Outstnd Figures-19c Eng Lit","467","001","","30","3.379","20.0","40.0","30.0","6.7",".",".",".","3.3",".",".",".",".",".",".",".","."
"Theme in 19th C Eng Lit","468","001","","22","3.273","13.6","36.4","40.9","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Honors Seminar","482","001","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Figures of Contemp Eng Lit","500","001","","24","3.542","33.3","45.8","16.7","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Mod British Lit Since 1914","507","001","","31","3.468","45.2","25.8","22.6","3.2",".",".","3.2",".",".",".",".",".",".",".",".","."
"Recent Fiction in English","511","008","","34","3.636","44.1","38.2","11.8","2.9",".",".",".",".",".",".",".",".",".",".","2.9","."
"Postcolonial Theatre","523","001","","19","3.342","42.1","26.3","15.8","10.5",".",".","5.3",".",".",".",".",".",".",".",".","."
"Indian Writers Abroad","524","001","","28","3.339","17.9","46.4","25.0","7.1","3.6",".",".",".",".",".",".",".",".",".",".","."
"","550","001","","25","3.440","36.0","28.0","28.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","550","004","","26","3.577","38.5","38.5","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Studies in Criticism","","Course Total","","51","3.510","37.3","33.3","25.5","2.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"Modern Critical Theories","553","001","","28","3.393","21.4","46.4","21.4","10.7",".",".",".",".",".",".",".",".",".",".",".","."
"Studies in Dramatic Lit","561","001","","58","2.991","10.3","29.3","34.5","13.8","8.6",".","3.4",".",".",".",".",".",".",".",".","."
"Lit-Jewish Identity in Amer","593","001","","24","3.354","8.3","58.3","29.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Major American Novelists","609","001","","22","3.333","27.3","31.8","13.6","22.7",".",".",".","4.5",".",".",".",".",".",".",".","."
"Lit of the Amer Renaissance","618","001","","29","3.554","31.0","48.3","13.8","3.4",".",".",".",".",".",".",".",".",".","3.4",".","."
"Theme in 19th C Amer Lit","626","001","","29","3.103","13.8","20.7","55.2","6.9",".",".","3.4",".",".",".",".",".",".",".",".","."
"","630","001","","28","3.429","28.6","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630","002","","32","3.500","25.0","46.9","18.8","3.1",".",".",".","3.1",".",".",".",".","3.1",".",".","."
"Theme in 20th C Amer Lit","","Course Total","","60","3.466","26.7","38.3","30.0","1.7",".",".",".","1.7",".",".",".",".","1.7",".",".","."
"Mod Amer Lit Since 1914","633","001","","33","3.183","21.2","21.2","27.3","12.1","9.1",".",".","6.1",".",".",".",".",".","3.0",".","."
"Maj Amer Novelists-1914-45","635","001","","29","3.259","17.2","37.9","24.1","3.4","10.3",".",".","6.9",".",".",".",".",".",".",".","."
"Selected Topics:Afro-Am Lit","672","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","056","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","","Page 201 of 396",""
