"","990
014","2","***","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
020","4","***","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
030","2","***","","","","","","","","","",".",".",".","",".","",".",".","."
"Research and Thesis","Course Total","17","",".",".",".",".",".",".",".","100.0",".",".",".","",".","",".",".",".","."
"WL ECOL
960","Dept. Total","296","3.108","33.4","15.9","20.6","9.5","11.5","3.0","0.3","5.7",".",".",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"960
WL ECOL","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","14","3.250","35.7","14.3","28.6","21.4",".",".",".",".",".",".",".","",".","",".",".",".","."
"Sophomore","","17","3.244","35.3","17.6","17.6","29.4",".",".",".",".",".",".",".","",".","",".",".",".","."
"Junior","","64","2.958","31.3","14.1","25.0","7.8","17.2","4.7",".",".",".",".",".","",".","",".",".",".","."
"Senior","","162","3.078","32.7","17.9","21.6","9.3","14.2","3.7","0.6",".",".",".",".","",".","",".",".",".","."
"Undergraduates","","257","3.069","32.7","16.7","22.6","10.9","13.2","3.5","0.4",".",".",".",".","",".","",".",".",".","."
"Special","","4","3.350","25.0","25.0","50.0",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"Graduate","","35","3.792","40.0","8.6","2.9",".",".",".",".","48.6",".",".",".","",".","",".",".",".","."
"","Dept. Total","296","3.108","33.4","15.9","20.6","9.5","11.5","3.0","0.3","5.7",".",".",".","",".","",".",".",".","."
