"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"","376
001","","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376
002","","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Photography","Course Total","","29","3.879","79.3","17.2","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","412
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","412
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Drawing II","Course Total","","10","3.500","20.0","60.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art Foundry","414
001","","13","3.654","84.6","7.7",".",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Installations & Environmnts","418
001","","15","3.433","33.3","20.0","46.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
001","","6","3.583","16.7","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Painting II","Course Total","","9","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer Imaging Techniques","001
428","","15","3.567","73.3","6.7","6.7",".","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"Artists' Books","446
001","","22","3.886","86.4","4.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
002","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
003","","28","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
004","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
005","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
006","","9","3.688","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","86","3.958","94.2","3.5","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Concept&Methodol of Figuration","452
001","","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Neon: Light as Sculpture","454
001","","9","3.625","33.3","44.4","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Interdis Studies in the Arts","469
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Photography","476
001","","10","3.944","80.0","10.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Advanced Relief Printmaking","506
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Colloquium in Art","508
001","","85","3.542","69.4","11.8","5.9","3.5","1.2","2.4","4.7",".","1.2",".",".",".",".",".",".","."
"Advanced Drawing I","512
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Sculpture I","514
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Artist's Video","518
001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","522
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","522
002","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Painting I","Course Total","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","524
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","524
002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Ceramics I","Course Total","","11","3.773","81.8","9.1",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Advanced Etching/Intaglio","526
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Computer-Mediated Art","528
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Life Drawing I","532
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Wood Working","001
534","","13","3.500","46.2","23.1","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Advanced Serigraphy","536
001","","7","3.763","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Watercolor I","542
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Art Metal I","544
001","","6","3.167","50.0","33.3",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
