"","ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","",""
"Emplymnt/El&Sec Schl Pupils","313","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Ed Admin","502","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","700","043","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700","047","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Experience-Ed Admin","","Course Total","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Elem & Sec Educ Admin","702","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Meth & Proc-Ed Admin","725","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Serv&Divrsty-El/Scndry","735","001","","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Admin Stdt Serv-Higher Educ","736","001","","17","3.824","64.7","35.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in Educ Policy Analysis","765","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prblms-Coll&Universty Admin","815","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Fld Rsch Dsgn&Meth-Ed Admin","824","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Rsch Methods-Ed Admin","825","001","","23","3.947","73.9","8.7",".",".",".",".",".",".",".",".",".",".","17.4",".",".","."
"Financng Elem&Secondry Educ","830","001","","12","3.950","75.0","8.3",".",".",".",".",".","8.3",".",".",".",".","8.3",".",".","."
"Financng Postsecondry Educ","831","001","","16","3.967","87.5","6.3",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Leadershp-Inclusive Schling","835","001","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Aspcts-El & Scndry Ed","840","001","","15","3.500","60.0","13.3","13.3",".",".",".","6.7","6.7",".",".",".",".",".",".",".","."
"The School Principalship","845","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pro Devel&Orgniztn Learning","848","001","","26","3.900","88.5","3.8",".",".","3.8",".",".","3.8",".",".",".",".",".",".",".","."
"","860","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","860","002","","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org Theory&Behavior in Educ","","Course Total","","23","3.913","82.6","17.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Politics of Education","870","001","","16","3.962","75.0","6.3",".",".",".",".",".",".",".",".",".",".","18.8",".",".","."
"","890","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","890","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","890","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Appl Rsch in Ed Admin","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Internship in Ed Admin","900","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","940","001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940","002","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940","003","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","940","005","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".",".",".","8.3","."
"","940","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr in Educational Admin","","Course Total","","48","3.926","83.3","14.6",".",".",".",".",".",".",".",".",".",".",".",".","2.1","."
"Smr-Computers in Ed Admin","961","001","","6","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"","990","003","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","012","","7","",".",".",".",".",".",".",".",".",".",".",".","85.7","14.3",".",".","."
"","990","014","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","020","","14","",".",".",".",".",".",".",".","92.9",".",".",".",".",".","7.1",".","."
"","990","027","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","032","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","","","Page 91 of 396"
