"CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"211
Chem Process Thermodynamics","001","","50","2.760","20.0","16.0","20.0","12.0","18.0","14.0",".",".",".",".",".",".",".",".",".","."
"250
Process Synthesis","002","","44","2.693","15.9","18.2","22.7","20.5","6.8","9.1","6.8",".",".",".",".",".",".",".",".","."
"311
Thermodynamics of Mixtures","001","","42","2.881","31.0","7.1","19.0","11.9","23.8","4.8","2.4",".",".",".",".",".",".",".",".","."
"320
Intro Transport Phenomena","001","","56","2.964","32.1","7.1","23.2","7.1","25.0","5.4",".",".",".",".",".",".",".",".",".","."
"324","002","","12","3.375","16.7","58.3","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"324","003","","10","3.350","20.0","30.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"324","004","","11","3.182","18.2","9.1","63.6","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"324","005","","10","3.350","30.0","10.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","Course Total","","43","3.314","20.9","27.9","46.5","2.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"326
Momentum&Heat Transfer Oper","001","","43","2.849","23.3","11.6","23.3","14.0","20.9","4.7","2.3",".",".",".",".",".",".",".",".","."
"425
Undergrad Rheology Seminar","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"426
Mass Transfer Operations","001","","36","2.931","19.4","16.7","22.2","25.0","11.1","5.6",".",".",".",".",".",".",".",".",".","."
"430
Chem Kinetcs & Reactor Dsgn","001","","48","3.073","33.3","4.2","18.8","35.4","6.3","2.1",".",".",".",".",".",".",".",".",".","."
"440
Chemical Engineering Matl","001","","54","3.065","27.8","3.7","38.9","20.4","5.6","3.7",".",".",".",".",".",".",".",".",".","."
"450
Process Design","001","","44","3.216","11.4","43.2","27.3","13.6","4.5",".",".",".",".",".",".",".",".",".",".","."
"470
Process Dynamics & Control","002","","41","2.951","14.6","24.4","22.0","19.5","17.1","2.4",".",".",".",".",".",".",".",".",".","."
"540
Polymer Sci & Technology","001","","27","2.833","11.1","18.5","29.6","22.2","14.8",".","3.7",".",".",".",".",".",".",".",".","."
"544
Processing-Electronic Matls","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"560
Biochemical Engineering","001","","7","3.357","42.9","14.3","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"562","000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"562","001","","13","3.743","53.8","30.8","7.7",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"562","002","","13","3.843","69.2","15.4","7.7",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"562","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics in ChE","Course Total","","28","3.801","60.7","21.4","7.1",".",".",".",".","10.7",".",".",".",".",".",".",".","."
"599","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"599","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"599","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"599","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"599","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"599","019","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"620
Intmed Transport Phenomena","001","","8","3.313","12.5","37.5","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 108 of 396",""
