"EDU","","","","","","","","","","","","","","","","","","","",""
"PHYSICAL EDUC ACTIVITY PRO Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"273
001
Soccer II","20","4.000","85.0",".",".",".",".",".",".","15.0",".",".",".","",".","",".",".",".","."
"275
001","26","3.625","46.2","11.5","15.4",".","3.8",".",".","23.1",".",".",".","",".","",".",".",".","."
"275
002","15","3.667","26.7","26.7","6.7",".",".",".",".","40.0",".",".",".","",".","",".",".",".","."
"Course Total
Volleyball II","41","3.638","39.0","17.1","12.2",".","2.4",".",".","29.3",".",".","",".","",".",".",".",".","."
"277
001
Kendo:Intgratn-Mrtl&Lib Art","33","3.371","15.2","57.6","9.1","6.1","6.1",".",".","3.0",".",".",".","",".","",".","3.0",".","."
"295
001
Bicycling","17","3.846","52.9","23.5",".",".",".",".",".","23.5",".",".",".","",".","",".",".",".","."
"300
001","14","3.500","21.4","42.9","7.1","7.1",".",".",".","21.4",".",".",".","",".","",".",".",".","."
"300
002","25","3.788","52.0","32.0","4.0",".",".",".",".","12.0",".",".",".","",".","",".",".",".","."
"300
003","17","3.457","64.7","17.6",".","5.9",".",".","5.9","5.9",".",".",".","",".","",".",".",".","."
"Course Total
Workshop-Physical Activity","56","3.625","48.2","30.4","3.6","3.6",".",".","1.8","12.5",".",".","",".","",".",".",".",".","."
"001
301
Swim Endur&Stroke Proficncy","14","3.333","14.3","21.4","21.4","7.1",".",".",".","35.7",".",".",".","",".","",".",".",".","."
"303
001
Aquatic Conditioning","21","3.433","28.6","19.0","14.3","4.8","4.8",".",".","28.6",".",".",".","",".","",".",".",".","."
"308
001
Lifegrdng&Swimmng Supervisn","20","3.464","15.0","35.0","20.0",".",".",".",".","30.0",".",".",".","",".","",".",".",".","."
"310
001
Water Safety Instructor","17","3.767","52.9","29.4","5.9",".",".",".",".","11.8",".",".",".","",".","",".",".",".","."
"313
001
Lifeguard Training Renewal","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"318
001
Topics in Martial Arts","20","3.789","55.0","40.0",".",".",".",".",".","5.0",".",".",".","",".","",".",".",".","."
"330
001
Triathlon Training","27","3.650","14.8","18.5","3.7",".",".",".",".","63.0",".",".",".","",".","",".",".",".","."
"362
001
Tennis III","14","3.643","28.6","14.3",".","7.1",".",".",".","50.0",".",".",".","",".","",".",".",".","."
"PE ACTIV
Dept. Total
740","1863","3.241","29.1","17.3","10.6","3.8","5.4","1.5","1.0","30.1","0.3",".","",".","",".","0.2","0.4","0.4","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"Freshmen","165","2.833","29.7","13.3","15.8","7.3","20.0","3.6","2.4","6.7",".",".","",".","",".",".","0.6","0.6","."
"Sophomore","273","3.089","37.0","19.4","17.6","6.2","9.5","4.0","1.5","4.4",".",".","",".","",".",".","0.4",".","."
"Junior","260","3.254","35.0","24.6","11.9","3.8","3.8","2.3","1.5","16.2",".",".","",".","",".",".","0.8",".","."
"Senior","839","3.450","31.1","17.5","8.3","2.9","3.0","0.6","0.6","34.7","0.7",".","",".","",".","0.4","0.2",".","."
"Undergraduates","1537","3.227","32.7","18.6","11.4","4.1","6.1","1.8","1.1","23.2","0.4",".","",".","",".","0.2","0.4","0.1","."
"Special","110","3.441","10.0","8.2","6.4","0.9","1.8",".",".","66.4",".",".","",".","",".",".",".","6.4","."
"Graduate","180","3.385","12.2","13.3","7.2","3.3","1.7",".","0.6","61.1",".",".","",".","",".",".","0.6",".","."
"Prof Yr 1","5","",".",".",".",".",".",".",".","100.0",".",".","",".","",".",".",".",".","."
"Prof Yr 2","9","3.375","11.1","22.2",".","11.1",".",".",".","55.6",".",".","",".","",".",".",".",".","."
"Prof Yr 3","21","3.550","28.6","4.8","9.5",".","4.8",".",".","52.4",".",".","",".","",".",".",".",".","."
"Prof Yr 4","1","",".",".",".",".",".",".",".","100.0",".",".","",".","",".",".",".",".","."
"Professionals","36","3.500","19.4","8.3","5.6","2.8","2.8",".",".","61.1",".",".","",".","",".",".",".",".","."
"Dept. Total","1863","3.241","29.1","17.3","10.6","3.8","5.4","1.5","1.0","30.1","0.3",".","",".","",".","0.2","0.4","0.4","."
