"FOREST AND WILDLIFE ECOLO","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","",""
"100
Introduction to Forestry","001","","125","3.436","60.8","13.6","4.8","9.6","5.6","3.2","2.4",".",".",".",".",".",".",".",".","."
"248
Envir, Nat Resources & Society","001","","15","2.923","13.3","6.7","33.3","20.0","13.3",".",".","13.3",".",".",".",".",".",".",".","."
"299
Independent Study","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"300
Forest Biometry","001","","11","3.182","36.4","9.1","27.3","9.1","18.2",".",".",".",".",".",".",".",".",".",".","."
"301
Intro-Aerial Photo Systems","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"304
Remote Sensng Vis Image&GIS","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"305
Forest Operations","001","","13","2.808","7.7","15.4","38.5","23.1","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"312
Wood Identification","001","","10","3.050","20.0","30.0","30.0",".","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"314
Wood, Industrial Use,&Society","001","","8","3.286","37.5","25.0","12.5",".",".","12.5",".","12.5",".",".",".",".",".",".",".","."
"375
Special Topics","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"403
Geom Anal-Vert Aerial Photo","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"410
Principles of Silviculture","001","","30","3.235","33.3","10.0","26.7","16.7","10.0",".",".","3.3",".",".",".",".",".",".",".","."
"430
Agroforestry","001","","19","3.289","10.5","36.8","52.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"460
General Ecology","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"461
Environmental Sys Concepts","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"572
Stat Meth for Bioscience II","001","","9","3.611","22.2","77.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"652
Decisn Meth-Nat Resrc Mangr","001","","11","3.220","27.3","18.2","36.4",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"657
Natl Forest Mgmt Practicum","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","6","3.600","50.0","16.7",".","16.7",".",".",".","16.7",".",".",".",".",".",".",".","."
"790
Special Problems","013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"799
Practicum in Forestry Tchg","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Special Topics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"879
Advanced Landscape Ecology","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"901
Colloq-Forestry&Forest Prod","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"955
Practical Rsch Design&Inquiry","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","5","***","","","","","","","","","",".",".",".",".",".",".","."
