"ACCOUNTING AND INFO SYSTE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","",""
"Contemporary Topics","365
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Accounting","399
202","","7","3.357","28.6","14.3","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","406
001","","23","3.435","47.8",".","43.5","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","002
406","","14","3.214","14.3","35.7","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Financial Reporting","Course Total","","37","3.351","35.1","13.5","37.8","13.5",".",".",".",".",".",".",".",".",".",".",".","."
"Acct Internshp & Prac Rsch","600
001","","70","3.821","70.0","24.3","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pro Prac Iss-Acct & Auditng","601
001","","70","3.536","44.3","18.6","37.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","603
001","","44","3.512","34.1","31.8","31.8",".",".",".",".","2.3",".",".",".",".",".",".",".","."
"","603
030","","39","3.808","64.1","33.3","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Statement Analysis","Course Total","","83","3.652","48.2","32.5","18.1",".",".",".",".","1.2",".",".",".",".",".",".",".","."
"","620
001","","25","3.120","24.0","24.0","28.0","16.0","4.0",".","4.0",".",".",".",".",".",".",".",".","."
"","620
002","","34","3.303","26.5","38.2","14.7","8.8","5.9","2.9",".","2.9",".",".",".",".",".",".",".","."
"Fundamentals of Taxation","Course Total","","59","3.224","25.4","32.2","20.3","11.9","5.1","1.7","1.7","1.7",".",".",".",".",".",".",".","."
"Audit and Assurance Services","001
630","","33","3.015","18.2","21.2","36.4","6.1","15.2",".","3.0",".",".",".",".",".",".",".",".","."
"Financial Accounting","700
001","","12","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","701
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","701
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","701
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Financial Reporting I","Course Total","","7","3.167",".","42.9","28.6","14.3",".",".",".","14.3",".",".",".",".",".",".",".","."
"","702
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","702
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Financial Reporting II","Course Total","","6","3.250","33.3",".","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","706
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","706
002","","11","3.700","36.4","54.5",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Adv Financial Reporting","Course Total","","15","3.714","46.7","40.0","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","710
001","","17","3.441","29.4","41.2","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","002
710","","12","3.455","33.3","16.7","41.7",".",".",".",".",".",".",".",".",".",".",".",".","8.3"
"Managerial Accounting","Course Total","","29","3.446","31.0","31.0","27.6","6.9",".",".",".",".",".",".",".",".",".",".",".","3.4"
"Federal Estate&Gift Taxatn","723
001","","12","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
001","","29","3.655","48.3","34.5","17.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
002","","21","3.738","52.4","42.9","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business Informatn Consulting","Course Total","","50","3.690","50.0","38.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
001","","10","3.450","30.0","40.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Current Taxation Topics","772
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
057","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
103","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
212","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading&Research-Accounting","Course Total","","6","3.962","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
085","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Accounting","Course Total","","5","***","","","","","","","","","","","","","","","",""
"","999
069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","","Page 53 of 396"
