"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","","","","",""
"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","262","3.132","14.5","18.7","45.4","14.5","3.1","0.4",".","2.7",".",".",".",".",".","0.8",".","."
"","002
300","270","3.105","15.2","18.9","41.1","17.0","4.1","0.4","0.4","1.1",".",".",".",".","0.4","1.5",".","."
"Marketing Management","Course Total","532","3.118","14.8","18.8","43.2","15.8","3.6","0.4","0.2","1.9",".",".",".",".","0.2","1.1",".","."
"","001
305","33","3.258","21.2","27.3","42.4","6.1",".","3.0",".",".",".",".",".",".",".",".",".","."
"","305
002","42","3.214","19.0","31.0","31.0","11.9","7.1",".",".",".",".",".",".",".",".",".",".","."
"","003
305","42","3.268","26.2","21.4","33.3","11.9","4.8",".",".","2.4",".",".",".",".",".",".",".","."
"","004
305","52","3.320","19.2","32.7","34.6","9.6",".",".",".","3.8",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","169","3.268","21.3","28.4","34.9","10.1","3.0","0.6",".","1.8",".",".",".",".",".",".",".","."
"","310
001","52","3.625","50.0","32.7","13.5",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","310
002","44","3.398","20.5","52.3","20.5",".","6.8",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","96","3.521","36.5","41.7","16.7",".","5.2",".",".",".",".",".",".",".",".",".",".","."
"","365
001","11","3.636","45.5","45.5",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","12","3.708","41.7","58.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","23","3.674","43.5","52.2",".","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","399
134","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","415
001","43","3.581","41.9","32.6","25.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
415","35","3.609","42.9","31.4","14.3",".","2.9",".",".","8.6",".",".",".",".",".",".",".","."
"Marketing Communications","Course Total","78","3.593","42.3","32.1","20.5",".","1.3",".",".","3.8",".",".",".",".",".",".",".","."
"Marketing Channels","001
425","43","3.488","23.3","51.2","20.9","2.3",".",".",".","2.3",".",".",".",".",".",".",".","."
"Product & Price Management","430
001","50","3.720","48.0","48.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460
001","24","3.375","20.8","33.3","45.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
460","54","3.769","59.3","35.2","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460
003","39","3.808","71.8","17.9","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","117","3.701","55.6","29.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sales Management","635
001","43","3.733","53.5","39.5","7.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
001","45","3.156","15.6","22.2","46.7","8.9","6.7",".",".",".",".",".",".",".",".",".",".","."
"","640
002","48","3.125","18.8","18.8","45.8","10.4","4.2",".","2.1",".",".",".",".",".",".",".",".","."
"Retail Management","Course Total","93","3.140","17.2","20.4","46.2","9.7","5.4",".","1.1",".",".",".",".",".",".",".",".","."
"","700
001","61","3.392","13.1","50.8","34.4",".",".",".",".","1.6",".",".",".",".",".",".",".","."
"","700
030","39","3.513","12.8","76.9","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","100","3.439","13.0","61.0","25.0",".",".",".",".","1.0",".",".",".",".",".",".",".","."
"Consumer Behavior","705
001","42","3.762","66.7","21.4","9.5","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","710
001","18","3.676","50.0","27.8","16.7",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Global Marketing Strategy","720
001","16","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","730
001","37","3.743","54.1","40.5","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","730
030","33","3.773","60.6","33.3","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Product & Price Management","Course Total","70","3.757","57.1","37.1","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Strategy","746
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
003","12","3.792","75.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
765","24","3.500","29.2","37.5","29.2",".",".",".",".",".",".",".",".",".",".","4.2",".","."
"Contemporary Topics","Course Total","36","3.600","44.4","27.8","25.0",".",".",".",".",".",".",".",".",".",".","2.8",".","."
"","799
144","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
219","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
