"L&S","","","","","","","","","","","","","","","","","","",""
"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"","131
002","12","3.458","50.0","8.3","33.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","131
003","25","3.080","28.0","16.0","28.0","16.0","4.0","8.0",".",".",".",".",".",".",".",".",".","."
"","131
004","26","3.654","61.5","15.4","19.2",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"Geom Inference & Reasoning","Course Total","79","3.253","40.5","13.9","24.1","8.9","7.6","5.1",".",".",".",".",".",".",".",".",".","."
"","001
132","22","3.614","40.9","45.5","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","002
132","26","3.058","19.2","15.4","42.3","3.8","19.2",".",".",".",".",".",".",".",".",".",".","."
"","003
132","27","3.370","25.9","48.1","11.1","11.1",".","3.7",".",".",".",".",".",".",".",".",".","."
"","132
004","27","3.315","29.6","22.2","37.0","3.7","7.4",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Models","Course Total","102","3.328","28.4","32.4","25.5","5.9","6.9","1.0",".",".",".",".",".",".",".",".",".","."
"Quant Reasoning&Prob Solvng","141
001","92","3.207","42.4","14.1","17.4","14.1","4.3","5.4","2.2",".",".",".",".",".",".",".",".","."
"","210
001","104","2.971","23.1","20.2","24.0","12.5","12.5","5.8","1.9",".",".",".",".",".",".",".",".","."
"","210
002","186","3.075","34.4","11.3","30.1","3.8","12.9","4.8","2.7",".",".",".",".",".",".",".",".","."
"","003
210","144","3.028","31.9","5.6","34.7","5.6","17.4","2.8","2.1",".",".",".",".",".",".",".",".","."
"Topics-Finite Mathematics","Course Total","434","3.035","30.9","11.5","30.2","6.5","14.3","4.4","2.3",".",".",".",".",".",".",".",".","."
"","211
001","132","2.664","16.7","11.4","20.5","20.5","21.2","3.0","6.1",".",".",".",".",".",".","0.8",".","."
"","211
002","126","2.940","27.8","13.5","27.0","6.3","14.3","7.9","2.4",".",".",".",".",".",".",".","0.8","."
"Calculus","Course Total","258","2.799","22.1","12.4","23.6","13.6","17.8","5.4","4.3",".",".",".",".",".",".","0.4","0.4","."
"Calc/Intro-Differntl Equats","213
001","75","3.392","52.0","5.3","29.3",".","9.3","1.3","1.3","1.3",".",".",".",".",".",".",".","."
"Calc with Algebra & Trig II","217
001","219","2.773","20.5","13.2","22.8","15.5","16.0","8.2","3.2",".",".",".",".",".",".",".",".","0.5"
"","221
001","196","2.872","10.2","21.9","31.6","17.9","13.3","3.6","1.5",".",".",".",".",".",".",".",".","."
"","221
002","200","2.720","10.5","15.5","26.0","24.5","15.0","6.5","2.0",".",".",".",".",".",".",".",".","."
"Calculus&Analytic Geometry","Course Total","396","2.795","10.4","18.7","28.8","21.2","14.1","5.1","1.8",".",".",".",".",".",".",".",".","."
"","222
001","34","3.309","50.0","5.9","23.5","2.9","14.7","2.9",".",".",".",".",".",".",".",".",".","."
"","002
222","33","2.742","21.2","6.1","21.2","9.1","39.4","3.0",".",".",".",".",".",".",".",".",".","."
"","003
222","125","2.705","28.0","4.0","21.6","10.4","20.0","7.2","6.4","0.8",".",".",".",".",".","1.6",".","."
"","004
222","32","2.500","21.9","6.3","21.9","6.3","21.9","15.6","6.3",".",".",".",".",".",".",".",".","."
"","222
005","218","2.725","21.6","11.0","28.9","6.4","20.2","4.6","7.3",".",".",".",".",".",".",".",".","."
"","222
006","31","2.516","16.1","9.7","16.1","16.1","29.0","6.5","6.5",".",".",".",".",".",".",".",".","."
"","007
222","35","2.557","22.9","11.4","14.3","14.3","11.4","22.9","2.9",".",".",".",".",".",".",".",".","."
"","222
008","31","2.806","22.6","12.9","32.3","6.5","12.9","6.5","6.5",".",".",".",".",".",".",".",".","."
"","222
009","125","2.676","13.6","20.0","26.4","11.2","13.6","8.8","6.4",".",".",".",".",".",".",".",".","."
