"DANCE PROGRAM","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","",""
"","1
001","","25","4.000","96.0",".",".",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"","002
1","","23","4.000","78.3",".",".",".",".",".",".","21.7",".",".",".",".",".",".",".","."
"Workshop in Dance Activity","Course Total","","48","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","11
001","","12","3.455","41.7","33.3",".",".","16.7",".",".","8.3",".",".",".",".",".",".",".","."
"","11
002","","14","3.833","57.1","28.6",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Modern Dance I","Course Total","","26","3.652","50.0","30.8",".",".","7.7",".",".","11.5",".",".",".",".",".",".",".","."
"Modern Dance Technique II","112
001","","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique I","125
001","","22","3.474","31.8","27.3","18.2","9.1",".",".",".","13.6",".",".",".",".",".",".",".","."
"Asian American Movement","153
001","","17","3.735","70.6","17.6",".","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Dance","205
001","","17","3.938","82.4","11.8",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Ballet I","21
001","","23","3.400","21.7","52.2","8.7",".",".",".","4.3","13.0",".",".",".",".",".",".",".","."
"Modern Dance Technique III","001
211","","18","3.861","72.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Dance Technique IV","212
001","","14","3.962","85.7","7.1",".",".",".",".",".",".",".",".",".",".",".","7.1",".","."
"Ballet II","22
001","","24","3.738","50.0","29.2","8.3",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Ballet Technique II","225
001","","23","3.625","34.8","17.4","17.4",".",".",".",".","26.1","4.3",".",".",".",".",".",".","."
"Intro-Dance/Movemnt Therapy","231
001","","21","3.550","76.2","9.5",".",".",".",".","9.5","4.8",".",".",".",".",".",".",".","."
"","255
001","","12","3.545","41.7","33.3",".","16.7",".",".",".","8.3",".",".",".",".",".",".",".","."
"","255
002","","21","3.643","38.1","57.1",".","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Move Comp-Perform/Visul Art","Course Total","","33","3.609","39.4","48.5",".","9.1",".",".",".","3.0",".",".",".",".",".",".",".","."
"Dance: An Intro Survey","265
001","","25","3.740","72.0","8.0","16.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","31
001","","31","3.827","61.3","16.1","6.5",".",".",".",".","16.1",".",".",".",".",".",".",".","."
"","31
002","","30","3.907","76.7","10.0","3.3",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Modern Jazz Dance","Course Total","","61","3.868","68.9","13.1","4.9",".",".",".",".","13.1",".",".",".",".",".",".",".","."
"Modern Dance Technique VI","001
312","","15","3.833","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique III","325
001","","21","3.643","47.6","42.9","4.8",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","399
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
055","","7","3.333","85.7",".",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"","399
056","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Project","Course Total","","24","3.595","75.0","8.3","12.5",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"","41
001","","36","3.726","50.0","25.0","11.1",".",".",".",".","13.9",".",".",".",".",".",".",".","."
"","41
002","","36","3.968","80.6","5.6",".",".",".",".",".","13.9",".",".",".",".",".",".",".","."
"","41
003","","36","3.819","75.0","16.7","5.6","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"","004
41","","31","3.793","61.3","25.8","6.5",".",".",".",".","6.5",".",".",".",".",".",".",".","."
"","41
005","","36","3.614","30.6","58.3","8.3",".",".",".",".","2.8",".",".",".",".",".",".",".","."
"","41
006","","32","3.897","84.4",".","3.1",".","3.1",".",".","9.4",".",".",".",".",".",".",".","."
