"","760
115","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Phmceut Care Specialty Clrkshp","Course Total","160","3.805","80.6","8.1","7.5","2.5",".","1.3",".",".","",".",".","",".","",".",".",".",".","."
"Conf:Rsch Workers Hosp Phm","962
001","6","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Advanced Independent Study","999
027","5","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"PHM PRAC
728","Dept. Total","1238","3.570","59.5","15.9","15.5","5.4","2.1","0.2","0.5","0.6","",".",".","",".","",".","0.2",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","1","3.000",".",".","100.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","29","3.133","13.8","6.9","69.0","6.9","3.4",".",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","32","3.250","18.8","6.3","65.6","6.3","3.1",".",".",".","",".",".","",".","",".",".",".",".","."
"Special","","5","2.625","40.0",".",".","20.0","20.0","20.0",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","","17","3.846","52.9",".",".",".","5.9",".",".","41.2","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","","152","3.932","92.8","3.9","3.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","","398","3.226","46.5","23.9","14.6","10.1","3.3",".","1.3",".","",".",".","",".","",".","0.5",".",".","."
"Prof Yr 3","","371","3.364","52.0","17.8","21.8","5.1","2.7",".","0.3","0.3","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","","263","3.803","76.4","10.6","10.3","1.9",".","0.8",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","1184","3.574","60.8","16.5","14.4","5.4","1.9","0.2","0.5","0.1","",".",".","",".","",".","0.2",".",".","."
"","Dept. Total","1238","3.570","59.5","15.9","15.5","5.4","2.1","0.2","0.5","0.6","",".",".","",".","",".","0.2",".",".","."
