"ART HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","","",""
"Study of Art, Present&Past","101","001","79","3.539","34.2","38.0","21.5","2.5",".",".",".",".",".",".",".",".",".",".","3.8","."
"Ancient and Medieval Art","201","001","146","3.208","30.8","24.0","20.5","11.6","8.2","2.1","1.4","1.4",".",".",".",".",".",".",".","."
"Renaissance to Modern Art","202","001","221","3.434","40.3","28.5","13.6","8.1","2.3","1.4","1.4","2.3","0.5",".",".",".",".","1.8",".","."
"Art & Archaeology-Ancient Rome","304","001","33","2.859","18.2","15.2","27.3","12.1","15.2","9.1",".","3.0",".",".",".",".",".",".",".","."
"Early Christian & Byzantine","310","001","38","2.757","10.5","26.3","18.4","21.1","13.2",".","7.9",".",".",".",".",".",".","2.6",".","."
"Venetian Paintg-Renaissance","324","001","52","2.865","3.8","23.1","11.5","23.1","7.7",".","1.9","25.0",".",".",".",".",".","1.9","1.9","."
"Bosch & Holbein to Bruegel","332","001","25","3.521","52.0","20.0","20.0",".",".",".","4.0","4.0",".",".",".",".",".",".",".","."
"Netherlandish Painting-17c","333","001","35","3.471","57.1","14.3","8.6","2.9","11.4","2.9",".","2.9",".",".",".",".",".",".",".","."
"19th C Painting in Europe","350","001","64","3.474","21.9","50.0","10.9","7.8",".",".",".","1.6",".",".",".",".",".",".","7.8","."
"History of Photography","355","001","45","3.679","44.4","33.3","6.7",".","2.2",".",".","13.3",".",".",".",".",".",".",".","."
"Hist of Amer Art, 1607-Present","364","001","75","3.227","20.0","38.7","21.3","6.7",".","1.3","4.0","8.0",".",".",".",".",".",".",".","."
"Amer Architecture: 19th C","368","001","40","3.191","27.5","15.0","27.5","2.5","10.0",".","2.5","15.0",".",".",".",".",".",".",".","."
"Chinese Painting","371","001","45","2.659","11.1","24.4","20.0","15.6","11.1","8.9","6.7","2.2",".",".",".",".",".",".",".","."
"Cities&Sanctuaries-Anc Greece","405","001","31","3.267","35.5","22.6","19.4","9.7","6.5",".","3.2","3.2",".",".",".",".",".",".",".","."
"Topics in American Art","406","001","25","3.521","32.0","36.0","28.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"","411","001","41","3.311","22.0","22.0","36.6","9.8",".",".",".","2.4",".",".",".",".","7.3",".",".","."
"","411","002","14","2.808","7.1","7.1","35.7","28.6","14.3",".",".",".",".",".",".",".",".",".","7.1","."
"Topics in Asian Art","","Course Total","55","3.180","18.2","18.2","36.4","14.5","3.6",".",".","1.8",".",".",".",".","5.5",".","1.8","."
"Topics-Architecturl History","449","001","21","3.605","47.6","28.6",".","14.3",".",".",".","4.8",".",".",".",".",".","4.8",".","."
"Art in Europe 1880-1914","452","001","38","3.313","31.6","26.3","7.9","5.3","10.5","2.6",".","13.2",".",".",".",".","2.6",".",".","."
"Proseminar in Ancient Art","505","001","16","3.500","43.8","18.8","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"19th Cent European Art","555","001","15","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","001","21","3.750","61.9","19.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","4.8"
"","600","002","13","3.537","30.8","30.8","15.4",".","15.4",".",".",".",".",".",".",".","7.7",".",".","."
"Special Topics-Art History","","Course Total","34","3.684","50.0","23.5","14.7",".","5.9",".",".",".",".",".",".",".","2.9",".",".","2.9"
"Senior Honors Thesis","681","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","021","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Senior Thesis","691","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","9","3.647","66.7",".","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","799","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 164 of 396",""
