"","699
004","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"","699
006","2","***","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
008","1","***","","","","","","","","","",".",".","",".","",".",".",".","."
"Independent Project","Course Total","11","3.455","81.8",".",".",".",".",".","9.1",".",".",".","",".","",".","9.1",".",".","."
"DANCE
741","Dept. Total","845","3.770","64.9","18.8","5.4","1.2","0.5","0.1","0.6","8.0","0.1",".","",".","",".","0.1","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","84","3.653","65.5","20.2","7.1","2.4","1.2","1.2","1.2","1.2",".",".","",".","",".",".",".",".","."
"Sophomore","","157","3.786","64.3","22.9","4.5","0.6","1.3",".",".","5.1","0.6",".","",".","",".",".",".","0.6","."
"Junior","","160","3.811","68.8","21.3","3.1","1.9",".",".",".","4.4",".",".","",".","",".",".","0.6",".","."
"Senior","","397","3.770","65.5","15.9","6.5","0.8","0.3",".","1.0","9.8",".",".","",".","",".","0.3",".",".","."
"Undergraduates","","798","3.769","65.9","18.8","5.5","1.1","0.5","0.1","0.6","6.9","0.1",".","",".","",".","0.1","0.1","0.1","."
"Special","","10","3.800","50.0","30.0",".",".",".",".",".","20.0",".",".","",".","",".",".",".",".","."
"Graduate","","31","3.839","45.2","12.9","6.5",".",".",".",".","35.5",".",".","",".","",".",".",".",".","."
"Prof Yr 1","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Prof Yr 2","","3","3.667","33.3","66.7",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","2","3.250","50.0",".",".","50.0",".",".",".",".",".",".","",".","",".",".",".",".","."
"Professionals","","6","3.583","50.0","33.3",".","16.7",".",".",".",".",".",".","",".","",".",".",".",".","."
"","Dept. Total","845","3.770","64.9","18.8","5.4","1.2","0.5","0.1","0.6","8.0","0.1",".","",".","",".","0.1","0.1","0.1","."
