"NUTRITIONAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"132","001","","307","2.868","15.6","14.3","30.9","14.7","20.5","3.6","0.3",".",".",".",".",".",".",".",".","."
"132","002","","362","2.750","13.3","15.5","27.1","13.8","23.2","4.1","2.5","0.6",".",".",".",".",".",".",".","."
"132","003","","192","2.646","8.3","13.5","18.8","17.7","28.6","2.6","1.6","7.8",".",".",".",".",".","1.0",".","."
"Nutrition Today","Course Total","","861","2.771","13.0","14.6","26.6","15.0","23.5","3.6","1.5","2.0",".",".",".",".",".","0.2",".","."
"299","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","3.909","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"332
Human Nutritional Needs","001","","160","2.865","29.4","6.3","26.3","1.9","27.5","6.9","1.3","0.6",".",".",".",".",".",".",".","."
"350
World Hunger & Malnutrition","001","","50","3.180","30.0","28.0","12.0","20.0","4.0","6.0",".",".",".",".",".",".",".",".",".","."
"431
Nutrition in the Life Span","001","","67","2.784","11.9","14.9","28.4","16.4","23.9","4.5",".",".",".",".",".",".",".",".",".","."
"499
Capstone in Nutrition","001","","9","3.444","33.3","44.4","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"520","001","","14","3.679","42.9","50.0","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"520","002","","16","3.594","37.5","43.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applications-Clin Nutrition","Course Total","","30","3.633","40.0","46.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"540
Commun Nutr Prgms & Policy Iss","001","","16","3.500","43.8","6.3","43.8",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"625
Adv Nutritn: Obesity&Diabetes","001","","21","3.405","42.9","4.8","42.9","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"672
Herbl, Homeopthy&Diet Supplmnt","001","","10","3.667","50.0","20.0","20.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"682
Senior Honors Thesis","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","4","***","","","","","","","","","","","","","","","",""
"799
Pract-Nutri Sciences Tchg","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"875","001","","14","3.250","21.4","28.6","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"875","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","18","3.304","33.3","27.8","22.2","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"881
Smr-Human&Clinicl Nutrition","001","","20","3.462","20.0","20.0","25.0",".",".",".",".","35.0",".",".",".",".",".",".",".","."
"931
Seminar-Nutrition","001","","35","4.000","5.7",".",".",".",".",".",".","94.3",".",".",".",".",".",".",".","."
"991","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"991","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"991","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","","Page 36 of 396"
