"","990
061","2","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
065","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
066","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Research and Thesis","Course Total","50","",".",".",".",".","",".",".",".","96.0",".",".",".","4.0","",".",".",".","."
"NEUROSCI
682","Dept. Total","211","3.681","43.1","7.6","4.3","0.9","",".","0.5","0.5","42.2",".",".",".","0.9","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"682
NEUROSCI","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","4.000","100.0",".",".",".","",".",".",".",".",".",".",".",".","",".",".",".","."
"Junior","","14","3.889","78.6","7.1","7.1",".","",".",".",".","7.1",".",".",".",".","",".",".",".","."
"Senior","","56","3.804","76.8","12.5","5.4","1.8","",".",".",".","3.6",".",".",".",".","",".",".",".","."
"Undergraduates","","72","3.820","77.8","11.1","5.6","1.4","",".",".",".","4.2",".",".",".",".","",".",".",".","."
"Special","","6","2.441","33.3","16.7",".",".","",".","16.7","16.7","16.7",".",".",".",".","",".",".",".","."
"Graduate","","122","3.682","23.8","5.7","4.1","0.8","",".",".",".","64.8",".",".",".","0.8","",".",".",".","."
"Prof Yr 3","","11","4.000","36.4",".",".",".","",".",".",".","54.5",".",".",".","9.1","",".",".",".","."
"Professionals","","11","4.000","36.4",".",".",".","",".",".",".","54.5",".",".",".","9.1","",".",".",".","."
"","Dept. Total","211","3.681","43.1","7.6","4.3","0.9","",".","0.5","0.5","42.2",".",".",".","0.9","",".",".",".","."
