"","999
076","2","***","","","","","","","","","",".",".","",".",".","",".",".","."
"","999
085","1","***","","","","","","","","","",".",".","",".",".","",".",".","."
"","999
087","1","***","","","","","","","","","",".",".","",".",".","",".",".","."
"","999
092","1","***","","","","","","","","","",".",".","",".",".","",".",".","."
"Indep Study & Research","Course Total","18","3.920","88.9","5.6","5.6",".",".",".",".",".",".",".","",".",".","",".",".",".","."
"COMP SCI
266","Dept. Total","1959","3.109","29.8","14.7","20.4","8.3","8.0","3.8","2.5","9.0","0.3","2.9","",".","0.1","",".","0.3","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","92","2.398","13.0","12.0","20.7","13.0","16.3","14.1","8.7",".",".",".","",".",".","",".","2.2",".","."
"Sophomore","","305","2.895","20.0","16.7","27.9","13.8","10.8","3.3","4.6",".",".","2.3","",".",".","",".","0.7",".","."
"Junior","","398","2.959","21.9","15.8","26.9","13.6","8.3","5.0","2.8","0.5","0.3","4.8","",".",".","",".","0.3",".","."
"Senior","","594","3.129","34.5","13.8","22.2","7.7","10.9","4.7","1.9",".",".","4.0","",".",".","",".","0.2",".","."
"Undergraduates","","1389","2.981","26.3","14.9","24.7","11.1","10.5","5.1","3.2","0.1","0.1","3.6","",".",".","",".","0.4",".","."
"Special","","42","2.752","23.8","14.3","21.4","7.1","16.7","2.4","9.5","4.8",".",".","",".",".","",".",".",".","."
"Graduate","","528","3.681","39.4","14.0","8.9","0.9","0.8","0.6",".","32.8","0.9","1.1","",".","0.4","",".",".","0.2","."
"","Dept. Total","1959","3.109","29.8","14.7","20.4","8.3","8.0","3.8","2.5","9.0","0.3","2.9","",".","0.1","",".","0.3","0.1","."
