"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"","100
001","16","2.750","6.3","18.8","37.5","6.3","25.0","6.3",".",".",".",".",".",".",".",".",".","."
"","100
002","11","2.864","9.1","27.3","45.5",".","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"","100
003","20","2.825","35.0","10.0","20.0","5.0","15.0","5.0","10.0",".",".",".",".",".",".",".",".","."
"","004
100","15","2.767","13.3","6.7","46.7",".","26.7","6.7",".",".",".",".",".",".",".",".",".","."
"","100
005","38","2.566","15.8","13.2","31.6","5.3","18.4","2.6","13.2",".",".",".",".",".",".",".",".","."
"","100
007","38","3.014","23.7","7.9","42.1","5.3","15.8",".","2.6",".",".",".",".",".",".","2.6",".","."
"","100
009","40","3.039","27.5","10.0","40.0","2.5","7.5","2.5","5.0","5.0",".",".",".",".",".",".",".","."
"","010
100","33","2.894","24.2","9.1","42.4",".","12.1","9.1","3.0",".",".",".",".",".",".",".",".","."
"","011
100","38","3.203","26.3","7.9","52.6",".","10.5",".",".","2.6",".",".",".",".",".",".",".","."
"","012
100","29","2.776","17.2","6.9","41.4","3.4","20.7","10.3",".",".",".",".",".",".",".",".",".","."
"","100
013","24","2.479","12.5",".","37.5","12.5","16.7","20.8",".",".",".",".",".",".",".",".",".","."
"","014
100","36","2.694","13.9","5.6","38.9","5.6","30.6","2.8","2.8",".",".",".",".",".",".",".",".","."
"","015
100","35","2.686","14.3","11.4","37.1","11.4","14.3","2.9","8.6",".",".",".",".",".",".",".",".","."
"Intro Financial Accounting","Course Total","373","2.827","19.6","9.4","39.7","4.6","16.6","4.8","4.3","0.8",".",".",".",".",".","0.3",".","."
"","211
001","20","3.000","30.0","10.0","30.0",".","25.0","5.0",".",".",".",".",".",".",".",".",".","."
"","211
003","37","3.297","37.8","8.1","45.9","2.7",".","5.4",".",".",".",".",".",".",".",".",".","."
"","004
211","36","3.292","52.8","5.6","22.2","2.8","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"","006
211","38","3.158","44.7","10.5","26.3",".","7.9","5.3","5.3",".",".",".",".",".",".",".",".","."
"","008
211","33","3.061","27.3","6.1","42.4","6.1","15.2","3.0",".",".",".",".",".",".",".",".",".","."
"","009
211","18","3.111","38.9","11.1","33.3",".","5.6","5.6","5.6",".",".",".",".",".",".",".",".","."
"","211
010","42","3.131","19.0","19.0","45.2","7.1","7.1","2.4",".",".",".",".",".",".",".",".",".","."
"","211
011","41","3.268","14.6","31.7","48.8","2.4","2.4",".",".",".",".",".",".",".",".",".",".","."
"Intro Managerial Accounting","Course Total","265","3.181","32.5","13.6","37.7","3.0","7.9","4.2","1.1",".",".",".",".",".",".",".",".","."
"","300
001","38","3.457","42.1","10.5","31.6","5.3","2.6",".",".","7.9",".",".",".",".",".",".",".","."
"","300
002","44","2.721","11.4","18.2","27.3","13.6","15.9","9.1","2.3","2.3",".",".",".",".",".",".",".","."
"","003
300","43","3.186","23.3","32.6","18.6","18.6","4.7",".","2.3",".",".",".",".",".",".",".",".","."
"","005
300","46","3.045","19.6","15.2","39.1","10.9","6.5","2.2","2.2","4.3",".",".",".",".",".",".",".","."
"Accounting Principles","Course Total","171","3.085","23.4","19.3","29.2","12.3","7.6","2.9","1.8","3.5",".",".",".",".",".",".",".","."
"","301
001","37","3.135","27.0","10.8","45.9","5.4","5.4","5.4",".",".",".",".",".",".",".",".",".","."
"","301
002","37","3.297","27.0","40.5","13.5","8.1","8.1","2.7",".",".",".",".",".",".",".",".",".","."
"","004
301","33","3.281","21.2","30.3","33.3","6.1","6.1",".",".","3.0",".",".",".",".",".",".",".","."
"","301
005","40","3.275","15.0","35.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting I","Course Total","147","3.247","22.4","29.3","33.3","7.5","4.8","2.0",".","0.7",".",".",".",".",".",".",".","."
"","001
302","30","3.083","23.3","16.7","36.7",".","23.3",".",".",".",".",".",".",".",".",".",".","."
"","302
002","34","2.838","20.6","14.7","26.5","11.8","20.6",".","5.9",".",".",".",".",".",".",".",".","."
"Financial Reporting II","Course Total","64","2.953","21.9","15.6","31.3","6.3","21.9",".","3.1",".",".",".",".",".",".",".",".","."
"","310
001","41","3.390","39.0","12.2","41.5","2.4","4.9",".",".",".",".",".",".",".",".",".",".","."
"","002
310","33","3.182","30.3","18.2","30.3","6.1","12.1","3.0",".",".",".",".",".",".",".",".",".","."
"Cost Management Systems","Course Total","74","3.297","35.1","14.9","36.5","4.1","8.1","1.4",".",".",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Taxatn:Bus & Persnl Planng","001
329","29","3.093","31.0","13.8","27.6","3.4","6.9","10.3",".","6.9",".",".",".",".",".",".",".","."
"","340
001","35","3.600","34.3","51.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
340","42","3.667","45.2","42.9","11.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","340
003","41","3.537","31.7","48.8","14.6","4.9",".",".",".",".",".",".",".",".",".",".",".","."
"Accounting Systems","Course Total","118","3.602","37.3","47.5","13.6","1.7",".",".",".",".",".",".",".",".",".",".",".","."
