"MUSIC","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"The Musical Experience","101
001","","153","3.567","50.3","17.6","26.8","2.0","0.7",".","0.7","2.0",".",".",".",".",".",".",".","."
"Intro-Mus Cult of the World","103
001","","16","2.583",".","25.0","6.3","12.5","25.0","6.3",".","25.0",".",".",".",".",".",".",".","."
"The Symphony","106
001","","77","3.086","28.6","11.7","27.3","3.9","15.6","2.6","1.3","7.8",".",".",".",".",".","1.3",".","."
"","111
001","","16","3.800","62.5","25.0","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","111
002","","21","3.150","19.0","14.3","42.9","14.3","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"Elements of Music","Course Total","","37","3.429","37.8","18.9","27.0","8.1","2.7",".",".","5.4",".",".",".",".",".",".",".","."
"Music in Performance","001
114","","487","3.922","81.3","7.4","0.8","0.6","0.8",".",".","8.4",".",".",".",".",".","0.6",".","."
"","122
001","","19","3.184","21.1","36.8","21.1","10.5","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","122
002","","25","3.000","16.0","20.0","44.0","12.0",".","4.0","4.0",".",".",".",".",".",".",".",".","."
"Musica Practica 2","Course Total","","44","3.080","18.2","27.3","34.1","11.4","2.3","4.5","2.3",".",".",".",".",".",".",".",".","."
"Basic Concepts-Music Theory","151
001","","32","3.362","53.1","9.4","15.6",".","6.3",".","6.3","9.4",".",".",".",".",".",".",".","."
"","101
172","","9","3.389","33.3","11.1","55.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","172
102","","10","3.450","30.0","40.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","172
103","","8","3.250","25.0","25.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","172
104","","8","3.250",".","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
172","","9","3.389","33.3","11.1","55.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 2","Course Total","","44","3.352","25.0","27.3","40.9","6.8",".",".",".",".",".",".",".",".",".",".",".","."
"The Legendary Performers","206
001","","295","3.774","61.0","24.7","5.8","2.0",".",".",".","6.1",".",".",".",".","0.3",".",".","."
"Survey-Hist Western Music","212
001","","56","3.209","26.8","19.6","33.9","10.7","3.6","3.6",".","1.8",".",".",".",".",".",".",".","."
"","222
001","","16","3.188","31.3","12.5","50.0",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","222
002","","21","3.548","28.6","52.4","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 4","Course Total","","37","3.392","29.7","35.1","32.4",".",".",".","2.7",".",".",".",".",".",".",".",".","."
"Bascom Course","236
001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","254
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
254","","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conducting","Course Total","","20","3.925","90.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"University Opera","256
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Opera Workshop","257
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
002","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
264","","27","3.963","96.3",".","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble: Wisconsin Singers","Course Total","","36","3.972","97.2",".","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Woodwind","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Black Music Ensemble","266
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
004","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 258 of 396",""
