"L&S","","","","","","","","","","","","","","","","","","","",""
"POLITICAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"POLI SCI
778","Dept. Total","4310","3.267","26.2","29.1","25.2","10.3","4.1","0.9","1.1","1.5","0.0","0.6","",".","0.1","0.4","0.1","0.2","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","422","3.122","17.3","27.5","31.0","15.9","6.2","0.7","1.2",".",".",".","",".",".",".",".","0.2","."
"Sophomore","","1008","3.270","25.2","32.7","26.2","9.5","3.6","1.2","1.3","0.3",".",".","",".",".",".",".",".","."
"Junior","","1231","3.288","26.1","31.0","26.6","10.2","3.7","0.7","1.0","0.1",".","0.2","",".",".","0.2","0.2","0.1","0.1"
"Senior","","1374","3.251","27.1","26.9","25.0","10.8","4.9","0.9","1.1","1.6","0.1","0.9","",".","0.1","0.4","0.2","0.1","."
"Undergraduates","","4035","3.252","25.3","29.6","26.4","10.8","4.3","0.9","1.1","0.6","0.0","0.4","",".","0.0","0.2","0.1","0.1","0.0"
"Special","","38","3.029","18.4","15.8","13.2","7.9","5.3","2.6","2.6","15.8",".","2.6","",".",".","7.9",".","7.9","."
"Graduate","","233","3.710","44.2","22.3","6.9","2.6",".",".",".","13.3","0.4","4.7","",".","2.1","2.6","0.4","0.4","."
"Prof Yr 2","","3","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 3","","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","4","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","4310","3.267","26.2","29.1","25.2","10.3","4.1","0.9","1.1","1.5","0.0","0.6","",".","0.1","0.4","0.1","0.2","0.0"
