"DAIRY SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","","",""
"205
Dairy Cattle Selection","001","","19","3.684","57.9","21.1","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"299
Independent Study","024","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"361
Intro to Animal & Vet Genetics","001","","27","2.574","14.8","7.4","18.5","11.1","40.7","7.4",".",".",".",".",".",".",".",".",".","."
"362
Veterinary Genetics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"363
Principles of Animal Breeding","001","","21","2.619","9.5","23.8","19.0","4.8","28.6","14.3",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","11","3.591","45.5","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","4","***","","","","","","","","","","","","","","","",""
"414
Ruminant Nutrition","001","","17","3.094","23.5","11.8","35.3","17.6",".","5.9",".","5.9",".",".",".",".",".",".",".","."
"433
Dairy Herd Management","001","","22","3.136","22.7","18.2","27.3","27.3","4.5",".",".",".",".",".",".",".",".",".",".","."
"434
Reproductive Physiology","001","","20","3.025","20.0","15.0","35.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"535
Dairy Farm Mgmt Practicum","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Dairy Science Tchng","Course Total","","2","***","","","","","","","","","","","","","","","",""
"900","001","","23","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"900","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"900","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"900","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"900","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","Course Total","","35","4.000","34.3",".",".",".",".",".",".","65.7",".",".",".",".",".",".",".","."
"931
Seminar in Animal Nutrition","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"950
Seminar in Animal Genomics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"951
Seminar in Animal Breeding","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
