"EDU","","","","","","","","","","","","","","","","","","","",""
"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"","244
001","","12","3.292","33.3","25.0","16.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"","244
002","","17","3.324","23.5","47.1","11.8","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"","003
244","","16","3.656","56.3","25.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Art Metal I","Course Total","","45","3.433","37.8","33.3","13.3","8.9","6.7",".",".",".",".",".",".",".",".",".",".","."
"","246
001","","14","3.714","50.0","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","246
002","","15","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lettering","Course Total","","29","3.759","55.2","41.4","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302
001","","19","3.684","63.2","26.3",".","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","302
002","","18","3.389","50.0",".","38.9",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","302
003","","18","3.389","50.0",".","44.4",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"Color","Course Total","","55","3.491","54.5","9.1","27.3","1.8","5.5","1.8",".",".",".",".",".",".",".",".",".","."
"Relief Printmaking","306
001","","10","3.778","50.0","40.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","312
001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
312","","12","3.375","33.3","25.0","33.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Drawing I","Course Total","","22","3.614","54.5","22.7","18.2",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Sculpture II","314
001","","7","3.357","42.9","14.3","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Lithography","316
001","","13","3.538","46.2","30.8","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","322
001","","11","3.636","36.4","54.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","","8","3.438","37.5","12.5","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Painting I","Course Total","","19","3.553","36.8","36.8","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324
001","","11","3.727","81.8",".","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","324
002","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ceramics II","Course Total","","22","3.795","77.3","13.6","4.5",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Etching","326
001","","15","3.033","20.0","26.7","20.0","20.0","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"","328
001","","10","3.600","50.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","328
002","","14","3.571","57.1","21.4","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Computer in the Visual Arts","Course Total","","24","3.583","54.2","25.0","8.3","8.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"","332
001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","332
002","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","332
003","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Life Drawing II","Course Total","","21","3.762","61.9","28.6","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wood Working","001
334","","12","3.542","33.3","50.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Serigraphy","336
001","","15","3.679","33.3","60.0",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Watercolor II","342
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Art Metal II","344
001","","10","3.300","20.0","20.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","346
001","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","346
002","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Typography & Communicatn","Course Total","","21","3.881","76.2","23.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","356
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","356
002","","14","3.679","50.0","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Print Production Techniques","Course Total","","23","3.804","69.6","21.7","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stage Lighting I","366
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Set Design I","372
001","","7","3.152",".","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","","Page 74 of 396"
