"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","","","",""
"ASIAN AMERICAN STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","","","","","","","",""
"Intro to Asian Amer Studies","101
001","","23","3.214","21.7","34.8","21.7","4.3","4.3",".","","4.3","8.7",".","",".",".","",".","",".","",".",".","."
"Asian American Movement","153
001","","19","3.839","84.2","5.3",".","10.5",".",".","",".",".",".","",".",".","",".","",".","",".",".","."
"Ethnic Movements in U.S.","220
001","","21","3.619","42.9","38.1","19.0",".",".",".","",".",".",".","",".",".","",".","",".","",".",".","."
"Topics-Asian Amer Culture","260
002","","17","3.206","23.5","41.2","17.6","11.8",".",".","","5.9",".",".","",".",".","",".","",".","",".",".","."
"Humanities Topics","560
001","","16","3.313","12.5","56.3","18.8","6.3","6.3",".","",".",".",".","",".",".","",".","",".","",".",".","."
"","699
001","","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
002","","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Ind Study:Directed Readings","Course Total","","2","***","","","","","","","","","","","","","","","","","","","","",""
"ASIAN AM
184","Dept. Total","","98","3.462","38.8","33.7","15.3","6.1","2.0","",".","2.0","2.0","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","2","3.571","50.0",".","50.0",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","20","3.338","35.0","35.0","10.0","15.0",".","",".","5.0",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","25","3.468","48.0","28.0","16.0",".","4.0","",".","4.0",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","50","3.503","34.0","38.0","16.0","6.0","2.0","",".",".","4.0","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","97","3.461","38.1","34.0","15.5","6.2","2.1","",".","2.1","2.1","",".",".","",".","",".","",".",".",".","."
"Graduate","","","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","98","3.462","38.8","33.7","15.3","6.1","2.0","",".","2.0","2.0","",".",".","",".","",".","",".",".",".","."
