"BUS","","","","","","","","","","","","","","","","","","",""
"MANAGEMENT AND HUMAN RE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","267","2.808","15.7","12.7","30.7","9.0","27.7","1.1","2.2","0.7",".",".",".",".",".",".",".","."
"","300
002","82","2.921","14.6","14.6","32.9","15.9","22.0",".",".",".",".",".",".",".",".",".",".","."
"","010
300","134","2.886","29.9","9.0","17.2","13.4","22.4","3.7","3.0",".","0.7",".",".",".",".",".",".","0.7"
"Organizational Behavior","Course Total","483","2.849","19.5","12.0","27.3","11.4","25.3","1.7","2.1","0.4","0.2",".",".",".",".",".",".","0.2"
"","305
001","68","3.493","36.8","44.1","11.8","2.9",".",".","2.9","1.5",".",".",".",".",".",".",".","."
"","305
002","58","3.422","34.5","43.1","10.3","6.9","1.7","1.7","1.7",".",".",".",".",".",".",".",".","."
"","305
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Resource Management","Course Total","128","3.465","35.9","43.8","10.9","4.7","0.8","0.8","2.3","0.8",".",".",".",".",".",".",".","."
"","365
000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
002","10","3.450","30.0","40.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","12","3.542","41.7","33.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","399
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
096","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Management of Teams","401
001","45","3.500","44.4","22.2","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Global Issues in Management","403
001","13","3.692","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","420
001","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","420
002","21","3.810","66.7","28.6","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org & Mgmt Processes","Course Total","40","3.875","77.5","20.0","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Small Bus Mgmnt/Entrprshp","422
001","26","3.587","34.6","34.6","19.2",".",".",".",".","11.5",".",".",".",".",".",".",".","."
"","423
001","13","3.792","61.5","23.1","7.7",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","002
423","12","3.625","58.3","25.0","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Strategic Management","Course Total","25","3.708","60.0","24.0","8.0",".","4.0",".",".","4.0",".",".",".",".",".",".",".","."
"Seminar:Human Resources Issues","471
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Personnel Staffing & Eval","001
611","26","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Labor-Management Relations","612
001","15","3.533","40.0","26.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hum Rsrce Skills-Managers","613
001","16","3.781","62.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
010","10","3.600","60.0",".","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
011","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","13","3.500","46.2",".","46.2",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","701
001","23","3.818","78.3","8.7","4.3",".","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"","701
002","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motivational Effectiveness","Course Total","39","3.868","82.1","10.3","2.6",".","2.6",".",".","2.6",".",".",".",".",".",".",".","."
"","702
001","30","3.948","90.0","3.3","3.3",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"","702
002","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership Effectiveness","Course Total","46","3.944","89.1","6.5","2.2",".",".",".",".","2.2",".",".",".",".",".",".",".","."
"Global Issues in Management","703
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Resource Management","705
001","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org & Management Processes","720
001","21","3.786","61.9","33.3","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Management","001
722","34","3.574","35.3","44.1","20.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business Strategy","723
030","38","3.618","44.7","36.8","15.8","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","725
001","35","3.514","34.3","34.3","31.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 59 of 396"
