"AFRICAN LANGUAGES & LITERA Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","","",""
"Intro-African Lang and Lit","201","001","99","3.459","46.5","27.3","14.1","4.0","2.0","1.0","3.0","2.0",".",".",".",".",".",".",".","."
"The African Storyteller","210","001","298","2.754","16.1","13.8","23.8","18.1","15.1","5.7","3.7","3.4","0.3",".",".",".",".",".",".","."
"The African Autobiography","211","001","23","2.935","4.3","17.4","43.5","30.4","4.3",".",".",".",".",".",".",".",".",".",".","."
"Hero&Trickster-Oral Traditn","270","001","21","2.929","23.8","9.5","23.8","14.3","28.6",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","33","2.833","18.2","12.1","27.3",".","30.3",".","3.0","6.1",".",".",".",".",".","3.0",".","."
"Hausa Verbal Arts in Translatn","306","001","28","3.536","64.3","7.1","17.9",".","7.1","3.6",".",".",".",".",".",".",".",".",".","."
"","322","001","14","3.154","42.9","7.1","14.3","28.6",".","7.1",".",".",".",".",".",".",".",".",".","."
"","322","002","14","3.325","35.7","21.4","14.3","14.3","7.1",".",".","7.1",".",".",".",".",".",".",".","."
"Second Semester Arabic","","Course Total","28","3.237","39.3","14.3","14.3","21.4","3.6","3.6",".","3.6",".",".",".",".",".",".",".","."
"Fourth Semester Arabic","324","001","18","3.294","27.8","33.3","27.8",".",".",".","5.6","5.6",".",".",".",".",".",".",".","."
"Second Semester Swahili","332","001","22","3.172","27.3","27.3","18.2","9.1","9.1","4.5",".","4.5",".",".",".",".",".",".",".","."
"Fourth Semester Swahili","334","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Xhosa","352","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Xhosa","354","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Hausa","362","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Yoruba","372","001","10","3.490","50.0","20.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Adv Studies-Swahili Lang-Rd","436","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Readings-Adv Arabic Texts","446","001","6","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","33.3","."
"Contemp Afrcn&Caribbean Lit","452","001","15","3.127","20.0","20.0","33.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"African Prose&Poetry-French","454","001","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Sixth Semester Yoruba","476","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Lang and Society in Africa","500","001","28","3.875","75.0","17.9","3.6",".",".",".",".",".",".",".",".",".",".",".","3.6","."
"Teach Africn Lang:Thry&Prac","575","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Intdept Smr-African Studies","983","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","019","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","","Course Total","12","",".",".",".",".",".",".",".","83.3","16.7",".",".",".",".",".",".","."
"Indep Reading & Research","999","012","3","***","","","","","","","","","",".",".",".",".",".",".","."
