"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"HEC","","","","","","","","","","","","","","","","","","","",""
"DESIGN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","",""
"Design: Fundamentals I","120","001","102","3.020","27.5","13.7","34.3","2.0","13.7","5.9","2.0","1.0",".",".",".",".",".",".",".","."
"","154","001","12","3.042","8.3","25.0","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","154","002","15","3.467","40.0","20.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Fabric & Apparel Structures II","","Course Total","27","3.278","25.9","22.2","40.7","3.7","7.4",".",".",".",".",".",".",".",".",".",".","."
"Fashion Illustration","210","002","15","3.367","26.7","33.3","33.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Design: Fundamentals II","220","001","17","3.206","17.6","23.5","41.2","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"Person & Environ Interactions","221","001","73","2.944","24.7","17.8","20.5","17.8","6.8","9.6","1.4","1.4",".",".",".",".",".",".",".","."
"Interior Design I","222","001","34","3.294","11.8","47.1","32.4","5.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"Apparel Design I","225","001","13","3.692","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Off-Loom","226","002","17","3.324","23.5","47.1","11.8","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"Textile Dsgn:Print & Dye I","227","001","15","3.567","33.3","46.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design:Structural I","228","001","15","3.300","6.7","53.3","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Science","251","001","79","3.038","7.6","35.4","27.8","20.3","6.3","2.5",".",".",".",".",".",".",".",".",".","."
"Independent Study","299","008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Design: Sketching&Rendering","320","001","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323","001","13","3.750","61.5","15.4","15.4",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","323","002","13","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"CAD: Architecture&Interiors","","Course Total","26","3.740","57.7","26.9","11.5",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"Hist of Fashion,1400-Presnt","355","001","43","3.175","34.9","7.0","37.2","2.3","7.0",".","4.7","7.0",".",".",".",".",".",".",".","."
"Amer Interiors,1620-1950","422","001","46","3.378","41.3","17.4","23.9","8.7","4.3","2.2",".","2.2",".",".",".",".",".",".",".","."
"Textile Dsgn: Print&Dye II","427","001","15","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Weaving II","429","001","10","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Studies in the Arts","469","002","16","3.563","56.3","18.8","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","501","001","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","002","25","3.484","28.0","40.0","28.0",".",".",".",".",".",".",".",".",".",".","4.0",".","."
"","501","003","21","3.262","28.6","19.0","33.3","14.3","4.8",".",".",".",".",".",".",".",".",".",".","."
"","501","004","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","76","3.614","53.9","19.7","19.7","3.9","1.3",".",".",".",".",".",".",".",".","1.3",".","."
"Color Theory: Environ Context","520","001","22","3.386","27.3","27.3","40.9","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Lightng Design-Architecture","560","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","601","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","601","015","9","3.808","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601","050","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","12","3.742","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interior Design III","622","001","33","3.242","15.2","24.2","54.5","6.1",".",".",".",".",".",".",".",".",".",".",".","."
"Apparel Design III","625","001","14","3.679","71.4",".","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Interior&Arch Dsgn Visualz","633","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691","032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","000A","16","3.565","31.3","56.3",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","699","000B","15","3.743","53.3","33.3","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","699","000C","12","3.703","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","000D","7","3.500",".","85.7",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 147 of 396",""
