"EDU","","","","","","","","","","","","","","","","","","","",""
"PHYSICAL EDUC ACTIVITY PRO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"Golf I","Course Total","","45","3.472","15.6","13.3","6.7","2.2","2.2",".",".","60.0",".",".",".",".",".",".",".","."
"","004
140","","18","3.800","22.2",".","5.6",".",".",".",".","72.2",".",".",".",".",".",".",".","."
"","005
140","","18","3.750","22.2","22.2",".",".",".",".",".","55.6",".",".",".",".",".",".",".","."
"Ice Skating I","Course Total","","36","3.769","22.2","11.1","2.8",".",".",".",".","63.9",".",".",".",".",".",".",".","."
"Ice Skating II","145
002","","14","3.667","35.7","14.3","14.3",".",".",".",".","35.7",".",".",".",".",".",".",".","."
"Fitness Walking","149
001","","18","3.375","33.3","33.3","16.7",".",".",".","5.6","11.1",".",".",".",".",".",".",".","."
"","155
001","","13","3.286","23.1","7.7","7.7","7.7","7.7",".",".","46.2",".",".",".",".",".",".",".","."
"","155
002","","15","3.563","20.0","20.0","13.3",".",".",".",".","46.7",".",".",".",".",".",".",".","."
"Badminton I","Course Total","","28","3.433","21.4","14.3","10.7","3.6","3.6",".",".","46.4",".",".",".",".",".",".",".","."
"","157
001","","20","3.531","35.0","20.0","20.0","5.0",".",".",".","15.0",".",".",".",".","5.0",".",".","."
"","157
002","","27","3.520","25.9","48.1","14.8","3.7",".",".",".","3.7",".",".",".",".","3.7",".",".","."
"Topics in Fencing","Course Total","","47","3.524","29.8","36.2","17.0","4.3",".",".",".","8.5",".",".",".",".","4.3",".",".","."
"","001
162","","22","3.667","18.2","18.2","4.5",".",".",".",".","59.1",".",".",".",".",".",".",".","."
"","162
002","","11","3.000",".","9.1",".","9.1",".",".",".","81.8",".",".",".",".",".",".",".","."
"","162
003","","14","3.167","35.7",".","14.3","7.1",".",".","7.1","35.7",".",".",".",".",".",".",".","."
"Tennis I","Course Total","","47","3.375","19.1","10.6","6.4","4.3",".",".","2.1","57.4",".",".",".",".",".",".",".","."
"","163
001","","14","3.722","35.7","21.4","7.1",".",".",".",".","35.7",".",".",".",".",".",".",".","."
"","002
163","","19","3.844","57.9","26.3",".",".",".",".",".","15.8",".",".",".",".",".",".",".","."
"","163
003","","22","3.750","36.4","13.6",".","4.5",".",".",".","45.5",".",".",".",".",".",".",".","."
"Racquetball I","Course Total","","55","3.784","43.6","20.0","1.8","1.8",".",".",".","32.7",".",".",".",".",".",".",".","."
"Basketball I","170
001","","22","3.833","63.6","13.6",".","4.5",".",".",".","18.2",".",".",".",".",".",".",".","."
"Soccer I","173
001","","24","3.304","29.2","29.2","25.0","4.2","4.2","4.2",".","4.2",".",".",".",".",".",".",".","."
"","001
175","","33","3.609","33.3","18.2","18.2",".",".",".",".","30.3",".",".",".",".",".",".",".","."
"","002
175","","30","3.674","43.3","16.7","16.7",".",".",".",".","23.3",".",".",".",".",".",".",".","."
"","003
175","","29","3.021","17.2","10.3","27.6","13.8","13.8",".",".","13.8","3.4",".",".",".",".",".",".","."
"Volleyball I","Course Total","","92","3.429","31.5","15.2","20.7","4.3","4.3",".",".","22.8","1.1",".",".",".",".",".",".","."
"Orienteering","194
001","","13","3.944","61.5","7.7",".",".",".",".",".","7.7",".",".",".",".",".","15.4","7.7","."
"","201
001","","11","3.200","18.2","36.4","9.1","18.2","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"","201
002","","7","3.100",".","28.6","28.6","14.3",".",".",".","28.6",".",".",".",".",".",".",".","."
"Intermediate Swimming","Course Total","","18","3.167","11.1","33.3","16.7","16.7","5.6",".",".","16.7",".",".",".",".",".",".",".","."
"","211
001","","13","3.773","53.8","23.1","7.7",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"","211
002","","12","3.273","41.7","8.3","8.3","25.0","8.3",".",".","8.3",".",".",".",".",".",".",".","."
"Intro to Martial Arts","Course Total","","25","3.523","48.0","16.0","8.0","12.0","4.0",".",".","12.0",".",".",".",".",".",".",".","."
"Marathon/Distance Training","231
001","","42","3.250","19.0","19.0","14.3",".",".",".","4.8","35.7","4.8",".",".",".","2.4",".",".","."
"Weight Training II","232
001","","21","3.233","9.5","33.3","14.3","9.5","4.8",".",".","23.8",".",".",".",".",".","4.8",".","."
"Golf II","001
238","","12","3.714","33.3","16.7","8.3",".",".",".",".","41.7",".",".",".",".",".",".",".","."
"Power Skating","244
002","","11","3.750","54.5","27.3","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","262
001","","22","3.542","31.8","9.1","4.5","4.5","4.5",".",".","45.5",".",".",".",".",".",".",".","."
"","262
002","","16","3.500","12.5","12.5","12.5",".",".",".",".","56.3","6.3",".",".",".",".",".",".","."
"","262
003","","12","3.333","16.7","8.3","16.7","8.3",".",".",".","50.0",".",".",".",".",".",".",".","."
"Tennis II","Course Total","","50","3.479","22.0","10.0","10.0","4.0","2.0",".",".","50.0","2.0",".",".",".",".",".",".","."
"Racquetball II","263
001","","8","3.917","62.5","12.5",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Basketball II","270
001","","17","3.464","23.5","29.4","29.4",".",".",".",".","17.6",".",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","","Page 98 of 396"
