"L&S","","","","","","","","","","","","","","","","","","",""
"SPANISH (SPANISH AND PORTU Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"SPANISH
Dept. Total
912","2714","3.268","33.8","21.0","26.8","5.9","7.4","1.4","0.9","2.4","0.1",".","",".","0.1","0.0","0.1","0.1","0.0"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"Freshmen","412","3.258","28.6","20.4","35.7","7.0","6.6","1.2","0.2","0.2",".",".","",".",".",".",".",".","."
"Sophomore","820","3.292","30.2","25.9","28.8","6.6","7.3","0.5","0.4","0.4",".",".","",".",".",".",".",".","."
"Junior","620","3.216","33.4","20.8","27.6","5.2","8.4","2.1","1.3","1.3",".",".","",".",".",".",".",".","."
"Senior","664","3.198","37.3","17.3","22.6","6.2","8.9","2.3","2.0","2.6","0.3",".","",".",".",".","0.5",".","0.2"
"Undergraduates","2516","3.245","32.6","21.5","28.0","6.2","7.9","1.5","1.0","1.2","0.1",".","",".",".",".","0.1",".","0.0"
"Special","28","3.632","71.4","7.1","10.7",".","3.6","3.6",".",".",".",".","",".",".",".",".","3.6","."
"Graduate","155","3.712","47.1","16.8","10.3","1.9",".",".",".","20.6",".",".","",".","1.3","0.6",".","1.3","."
"Prof Yr 1","2","4.000","50.0",".",".",".",".",".",".","50.0",".",".","",".",".",".",".",".","."
"Prof Yr 2","4","2.500",".",".","25.0","25.0","25.0",".",".","25.0",".",".","",".",".",".",".",".","."
"Prof Yr 3","9","3.521","33.3","22.2","22.2",".",".",".",".","22.2",".",".","",".",".",".",".",".","."
"Professionals","15","3.263","26.7","13.3","20.0","6.7","6.7",".",".","26.7",".",".","",".",".",".",".",".","."
"Dept. Total","2714","3.268","33.8","21.0","26.8","5.9","7.4","1.4","0.9","2.4","0.1",".","",".","0.1","0.0","0.1","0.1","0.0"
