"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Introduction-Dramatic Arts","120
001","326","3.456","39.9","29.8","18.1","5.8","3.7","0.9","0.6","0.9",".",".",".",".",".","0.3",".","."
"Voice Training","140
001","18","3.833","83.3","5.6","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","150
001","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
002","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
150","17","3.906","88.2",".",".","5.9",".",".",".","5.9",".",".",".",".",".",".",".","."
"","150
005","17","3.647","47.1","47.1",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","006
150","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
150","15","3.667","73.3","6.7","6.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","008
150","14","3.385","42.9","28.6","14.3",".",".",".","7.1","7.1",".",".",".",".",".",".",".","."
"","009
150","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
010","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Acting","Course Total","144","3.810","76.4","15.3","3.5","1.4","1.4",".","0.7","1.4",".",".",".",".",".",".",".","."
"","161
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
004","8","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
005","6","3.500","16.7","50.0","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","161
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
007","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Laboratory I","Course Total","34","3.719","61.8","14.7","14.7","2.9",".",".",".","2.9",".",".",".",".",".","2.9",".","."
"Performance Laboratory","162
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fund-Stage Lighting Technology","166
001","14","3.321","35.7","14.3","35.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Stagecraft","170
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","199
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergrad Topics-Theatre&Drama","219
001","28","3.589","50.0","21.4","25.0","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Wrld Theatre&Drama from 18c","222
001","74","3.135","28.4","24.3","23.0","8.1","12.2","1.4","2.7",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","250
001","18","3.676","44.4","38.9","11.1",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Directed Study","299
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"History: Stage Costume","327
001","26","3.340","42.3","26.9","19.2",".",".",".","7.7",".",".",".",".",".","3.8",".",".","."
"Fundamentals-Movemnt for Stage","342
001","18","3.833","72.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"In Trans: Modern Scand Drama","349
001","6","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acting Realism","350
001","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory II","361
001","28","3.778","64.3","17.9","14.3",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"","362
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
003","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
004","9","3.611","77.8","11.1",".",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"","362
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Drama in Education","Course Total","30","3.817","83.3","10.0","3.3",".",".","3.3",".",".",".",".",".",".",".",".",".","."
"Stage Lighting I","366
001","12","3.537","41.7","16.7","25.0","8.3",".",".",".","8.3",".",".",".",".",".",".",".","."
"Set Design I","372
001","15","3.104","20.0","40.0","26.7",".",".","6.7","6.7",".",".",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","Page 309 of 396",""
