"LIBRARY & INFORMATION STUD Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","",""
"","354","001","","123","3.609","52.0","26.8","10.6","4.9","1.6",".","0.8","1.6",".",".",".",".",".","1.6",".","."
"","354","002","","9","3.625","44.4","22.2","22.2",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Intro to Children's Literature","","Course Total","","132","3.610","51.5","26.5","11.4","4.5","1.5",".","0.8","1.5",".",".",".",".","0.8","1.5",".","."
"Organization of Information","551","001","","40","3.888","77.5","22.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Use and Users","561","001","","40","3.750","57.5","35.0","7.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Sources","571","001","","41","3.850","70.7","24.4","2.4",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"Health Information Systems","617","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Music Resrch Mthds & Matls","619","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","620","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Library&Informatn St","640","001","","19","3.611","36.8","42.1","15.8",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"School Library/Media Center","641","001","","17","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading Interests of Adults","642","001","","38","3.987","97.4","2.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Telecom&Network Mgmt-Info Sci","644","001","","26","3.904","80.8","19.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","645","001","","18","3.694","50.0","38.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","645","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intellectual Freedom&Libr","","Course Total","","23","3.696","52.2","34.8","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cataloging & Classification","651","001","","34","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Government Info Sources","653","001","","25","3.896","76.0","20.0",".",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"Collection Management","655","001","","35","3.729","57.1","31.4","11.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Archives Adm","734","001","","22","3.800","59.1","27.3","4.5",".",".",".",".","4.5",".",".",".",".",".","4.5",".","."
"Topics in Rsch Meths-L I S","810","001","","9","3.500","77.8","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Information Architecture","861","001","","38","3.829","65.8","34.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","008","","6","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
"Research and Thesis","","Course Total","","9","",".",".",".",".",".",".",".","88.9",".",".",".","11.1",".",".",".","."
"","999","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","011","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".",".","11.1",".","."
"","999","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading & Rsch","","Course Total","","33","3.968","90.9","6.1",".",".",".",".",".",".",".",".",".",".",".","3.0",".","."
