"Intro to Biostatistics","541
001","","18","3.639","44.4","38.9","16.7",".","",".",".","",".","",".",".","",".",".","",".","",".",".",".","."
"Intro to Clinical Trials","542
001","","9","3.929","66.7","11.1",".",".","",".",".","",".","","11.1",".","",".",".","",".","","11.1",".",".","."
"Advanced Bioinformatics","776
001","","3","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Computn&Informatcs in Biol&Med","915
001","","8","4.000","50.0",".",".",".","",".",".","",".","","50.0",".","",".",".","",".","",".",".",".","."
"B M I
210","Dept. Total","","38","3.693","47.4","26.3","10.5",".","",".","",".","",".","13.2","",".",".","",".","",".","2.6",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"210
B M I","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","","1","3.500",".","100.0",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","","1","3.500",".","100.0",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Special","","","4","4.000","50.0",".",".",".","",".","",".","",".","25.0","",".",".","",".","",".","25.0",".",".","."
"Graduate","","","17","3.806","58.8","11.8","5.9",".","",".","",".","",".","23.5","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","","","16","3.594","37.5","43.8","18.8",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","","16","3.594","37.5","43.8","18.8",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","","38","3.693","47.4","26.3","10.5",".","",".","",".","",".","13.2","",".",".","",".","",".","2.6",".",".","."
