"REHAB PSYCH & SPECIAL EDU","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","",""
"","300
001","92","3.723","57.6","29.3","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","105","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Individls with Disabilities","Course Total","197","3.871","80.2","13.7","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Behav Anal:Person-Disabilty","001
330","31","3.774","61.3","32.3","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Families-Individs w/ Disabils","450
001","20","3.950","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Indiv/Learn & Behav Disability","470
001","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mth&Curric:Lrn&Bhv Dis, 6-12","472
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Mgmt: Stdts/Lrn&Bhv Disability","473
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","474
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","474
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","474
003","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diagnosis&Assessmt:Lrn&Bhv","Course Total","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract: Stdts/Lrn&Bhv Dis, K-9","475
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","477
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","477
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach: Lrn&Bhv Dis, K-9","Course Total","4","***","","","","","","","","","","","","","","","",""
"","478
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","478
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","478
003","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Teach:Lrn & Bhv Dis, 6-12","Course Total","19","3.946","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab-Cnslg Psych: Applcatn","001
501","13","3.808","76.9","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab Psych-Medical Aspects","550
001","17","3.765","64.7","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","630
015","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","630
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","019
630","29","3.899","79.3","17.2","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intrshp-Rehab or Spec Educ","Course Total","37","3.879","78.4","16.2","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","660
007","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","660
010","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","19","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
018","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","3","***","","","","","","","","","","","","","","","",""
"","699
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
015","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Career Couns & Job Placemnt","725
001","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec St-Indiv w/Disablties","802
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
