"","990
069","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
070","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
071","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","151","",".",".",".",".",".",".",".","87.4",".",".",".","12.6",".",".",".","."
"BIOCHEM
200","Dept. Total","1232","3.275","35.9","12.6","20.0","5.9","6.0","0.9","0.9","15.9",".",".",".","1.5","0.2",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","3.100","50.0",".",".","50.0",".",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","26","2.831","19.2","11.5","34.6","3.8","23.1","7.7",".",".",".",".",".",".",".",".",".","."
"Junior","","200","3.082","29.5","16.0","25.0","14.0","12.0","2.5","1.0",".",".",".",".",".",".",".",".","."
"Senior","","452","3.277","42.5","13.3","23.5","8.0","9.1","0.7","1.5","1.1",".",".",".",".","0.4",".",".","."
"Undergraduates","","680","3.195","37.8","14.0","24.3","9.7","10.4","1.5","1.3","0.7",".",".",".",".","0.3",".",".","."
"Special","","24","3.100","37.5","12.5","20.8","4.2","4.2","4.2","8.3","4.2",".",".",".",".","4.2",".",".","."
"Graduate","","524","3.552","33.2","10.9","14.5","1.1","0.4",".",".","36.1",".",".",".","3.6",".",".","0.2","."
"Prof Yr 3","","4","3.600","50.0",".","25.0",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Professionals","","4","3.600","50.0",".","25.0",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"","Dept. Total","1232","3.275","35.9","12.6","20.0","5.9","6.0","0.9","0.9","15.9",".",".",".","1.5","0.2",".","0.1","."
