"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","",""
"KINESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","",""
"","116
001","","23","3.391","30.4","47.8","8.7","4.3","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"","002
116","","19","3.816","63.2","36.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Aid","Course Total","","42","3.583","45.2","42.9","4.8","2.4","2.4","2.4",".",".",".",".",".",".",".",".",".","."
"Intro to Athletic Training","001
127","","54","3.311","25.9","37.0","22.2","5.6","5.6",".","1.9",".",".",".",".",".",".","1.9",".","."
"","197
001","","23","3.457","47.8","13.0","34.8",".",".","4.3",".",".",".",".",".",".",".",".",".","."
"","002
197","","21","3.238","33.3","14.3","28.6","14.3","9.5",".",".",".",".",".",".",".",".",".",".","."
"Technique-Athletic Training","Course Total","","44","3.352","40.9","13.6","31.8","6.8","4.5","2.3",".",".",".",".",".",".",".",".",".","."
"","300
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
300","","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
300","","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Kinesiology","Course Total","","38","3.898","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiology of Exercise","001
314","","43","3.369","27.9","32.6","30.2","2.3","2.3","2.3",".",".",".",".",".",".","2.3",".",".","."
"","315
001","","23","3.609","30.4","60.9","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
315","","17","3.500","35.3","41.2","17.6",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Measurement-Motor Behavior","Course Total","","40","3.563","32.5","52.5","12.5",".","2.5",".",".",".",".",".",".",".",".",".",".","."
"Adapted Physical Activity","316
001","","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Recog&Eval-Athletc Injuries","317
001","","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biomechanics","318
001","","30","2.783","3.3","40.0","23.3","3.3","20.0","6.7","3.3",".",".",".",".",".",".",".",".","."
"Intro:Neural Basis-Movement","321
001","","55","3.373","23.6","40.0","27.3","5.5","3.6",".",".",".",".",".",".",".",".",".",".","."
"","323
001","","26","3.942","92.3","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323
002","","26","3.923","88.5","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
323","","22","3.614","77.3",".","13.6","4.5",".",".","4.5",".",".",".",".",".",".",".",".","."
"Phy Ed-Elem School Children","Course Total","","74","3.838","86.5","4.1","6.8","1.4",".",".","1.4",".",".",".",".",".",".",".",".","."
"Specialized Tchg Experience","332
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Exercise Psychology","350
001","","61","3.451","37.7","32.8","23.0","1.6","1.6","3.3",".",".",".",".",".",".",".",".",".","."
"Intro to Motor Development","001
360","","24","3.375","33.3","25.0","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Learning&Performance","361
001","","29","3.534","44.8","31.0","17.2",".","6.9",".",".",".",".",".",".",".",".",".",".","."
"Pract:Adapted Physical Educ","365
001","","9","3.556","44.4","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","399
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Med Probs-Exercise & Sports","457
001","","14","3.615","35.7","42.9","14.3",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Tchg-Learn Proc:Motor Skill","462
001","","13","3.731","69.2","23.1",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Elem Sch Phy Ed Stdt Tchg","478
001","","9","3.778","77.8",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Secondary-Phys Ed Stdt Tchg","479
001","","9","3.778","88.9",".",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Athletic Training","499
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinic Exercise Test&Train","001
523","","45","3.767","62.2","28.9","8.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hum Muscl Func/Hlth&Disease","779
001","","7","3.571","57.1","28.6",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Prin-Motor Control&Learning","861
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Biomechanics","951
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 102 of 396",""
