"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"Principles of Statistics","201
001","71","3.246","33.8","16.9","29.6","9.9","8.5",".","1.4",".",".",".",".",".",".",".",".","."
"","224
001","64","2.602","12.5","18.8","23.4","10.9","20.3","6.3","7.8",".",".",".",".",".",".",".",".","."
"","224
002","71","2.944","25.4","7.0","35.2","9.9","15.5","7.0",".",".",".",".",".",".",".",".",".","."
"","224
003","68","3.066","19.1","26.5","29.4","16.2","4.4",".","4.4",".",".",".",".",".",".",".",".","."
"Intro Stats for Engineers","Course Total","203","2.877","19.2","17.2","29.6","12.3","13.3","4.4","3.9",".",".",".",".",".",".",".",".","."
"","301
001","98","3.219","32.7","14.3","33.7","9.2","8.2","1.0","1.0",".",".",".",".",".",".",".",".","."
"","301
002","101","3.135","27.7","13.9","34.7","12.9","6.9","1.0","2.0",".",".",".",".",".","1.0",".",".","."
"","301
003","89","2.933","27.0","5.6","36.0","10.1","14.6","3.4","3.4",".",".",".",".",".",".",".",".","."
"","301
004","86","2.907","26.7","7.0","33.7","11.6","11.6","5.8","3.5",".",".",".",".",".",".",".",".","."
"","005
301","92","3.429","53.3","20.7","9.8","8.7","2.2","2.2","3.3",".",".",".",".",".",".",".",".","."
"","006
301","75","2.872","22.7","9.3","30.7","8.0","21.3","5.3","1.3","1.3",".",".",".",".",".",".",".","."
"","007
301","77","2.724","18.2","14.3","26.0","3.9","27.3","3.9","5.2","1.3",".",".",".",".",".",".",".","."
"Intro-Statistical Methods","Course Total","618","3.049","30.3","12.3","29.3","9.4","12.5","3.1","2.8","0.3",".",".",".",".","0.2",".",".","."
"Intro to Math Statistics","310
001","25","3.300","40.0","16.0","28.0","4.0","8.0","4.0",".",".",".",".",".",".",".",".",".","."
"Intro to Mathematical Stat","311
001","71","3.229","40.8","15.5","18.3","12.7","4.2","5.6","1.4",".",".",".",".",".",".","1.4",".","."
"Intro to Mathematical Stat","312
001","44","3.170","22.7","31.8","15.9","25.0","2.3",".","2.3",".",".",".",".",".",".",".",".","."
"Intro Applied Stats for Engrs","324
001","63","2.786","11.1","17.5","36.5","9.5","15.9","7.9","1.6",".",".",".",".",".",".",".",".","."
"Applied Regression Analysis","333
001","34","3.368","44.1","32.4","5.9","11.8",".",".","5.9",".",".",".",".",".",".",".",".","."
"","371
001","95","3.628","46.3","41.1","8.4","1.1","1.1",".","1.1","1.1",".",".",".",".",".",".",".","."
"","371
002","93","3.016","20.4","24.7","25.8","15.1","7.5",".","5.4","1.1",".",".",".",".",".",".",".","."
"Intro Applied Stats-Life Sci","Course Total","188","3.325","33.5","33.0","17.0","8.0","4.3",".","3.2","1.1",".",".",".",".",".",".",".","."
"Appl Categorical Data Anal","421
001","12","3.909","75.0","16.7",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Stat Expermntl Design-Engrs","424
001","32","3.344","34.4","25.0","25.0","12.5",".","3.1",".",".",".",".",".",".",".",".",".","."
"Intro-Theory of Probability","431
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Combinatorics","475
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Biostatistics","541
001","106","3.642","48.1","38.7","9.4","0.9","2.8",".",".",".",".",".",".",".",".",".",".","."
"Intro to Clinical Trials","542
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience II","572
001","62","3.549","24.2","59.7","14.5",".",".",".",".","1.6",".",".",".",".",".",".",".","."
"Intro-Statistical Inference","610
001","15","3.600","53.3","13.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
256","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","2","***","","","","","","","","","","","","","","","",""
"Special Topics-Statistics","001
692","16","4.000","81.3",".",".",".",".",".",".","12.5",".",".",".",".",".",".","6.3","."
"","699
134","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
138","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
165","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
256","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","6","2.286","50.0",".",".",".",".",".","16.7","16.7",".",".",".",".","16.7",".",".","."
"Mathematical Statistics","710
001","17","3.529","29.4","47.1","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lg Sample Thry-Stat Inference","732
001","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sequential Analysis","751
001","10","3.889","70.0","20.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
