"CONSUMER SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","","",""
"Consumer Finance","275","001","111","3.572","33.3","48.6","17.1","0.9",".",".",".",".",".",".",".",".",".",".",".","."
"Mediatn:Serving Consumr Int","350","001","42","3.738","61.9","23.8","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comp Applicatns-Retailing","370","001","24","3.646","54.2","25.0","16.7","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","470","001","15","3.333","6.7","53.3","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470","002","19","3.421","26.3","42.1","26.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Hist-Consumr Movemnts in US","","Course Total","34","3.382","17.6","47.1","32.4",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"Hist of Motherhood in Amer","473","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Family Economics","475","001","38","3.592","52.6","34.2","5.3","5.3",".",".","2.6",".",".",".",".",".",".",".",".","."
"The Consumer and the Market","477","001","32","3.281","12.5","43.8","34.4","6.3","3.1",".",".",".",".",".",".",".",".",".",".","."
"Consumer Information","478","001","8","3.000","25.0","12.5","37.5","12.5",".","12.5",".",".",".",".",".",".",".",".",".","."
"","501","001","34","2.868","20.6","8.8","29.4","11.8","26.5","2.9",".",".",".",".",".",".",".",".",".","."
"","501","002","61","3.926","90.2","4.9","4.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","95","3.547","65.3","6.3","13.7","4.2","9.5","1.1",".",".",".",".",".",".",".",".",".","."
"Prep for Retailng Internshp","503","001","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Care Iss:Ind, Fam, Soc","532","001","35","3.700","62.9","28.6","2.9","2.9",".","2.9",".",".",".",".",".",".",".",".",".","."
"Retail Promotion","560","001","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"International Retailing","562","001","36","3.903","83.3","13.9","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Consumer Science","565","001","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601","015","29","3.938","93.1","3.4","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Experience-Retailing","602","015","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Retailing Internship","603","015","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Consumer Behavior","657","001","40","3.667","62.5","15.0","15.0",".","5.0",".",".","2.5",".",".",".",".",".",".",".","."
"Household Risk Management","665","001","33","3.455","30.3","30.3","39.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Financial Counseling","675","001","37","3.444","32.4","29.7","29.7","2.7","2.7",".",".","2.7",".",".",".",".",".",".",".","."
"","699","005","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","009","28","3.980","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","44","3.966","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar: Consumer Research","960","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
"","999","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","5","***","","","","","","","","","","","","","","","",""
