"","999
060","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
065","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
087","3","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Advanced Independent Study","Course Total","15","3.984","66.7","6.7",".",".",".",".","",".","26.7","",".",".","",".","",".",".",".",".","."
"NURSING
692","Dept. Total","1427","3.771","64.4","22.2","7.2","1.5","0.2","0.1","",".","4.2","",".","0.1","",".","",".","0.1",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","28","3.933","89.3","7.1",".","3.6",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","45","3.904","86.7","6.7","2.2","4.4",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","185","3.713","59.5","29.2","9.2","1.1","0.5",".","",".","0.5","",".",".","",".","",".",".",".",".","."
"Senior","","746","3.746","62.7","25.9","8.8","1.7","0.3","0.1","",".","0.3","",".","0.1","",".","",".",".",".",".","."
"Undergraduates","","1004","3.747","63.9","25.1","8.4","1.8","0.3","0.1","",".","0.3","",".","0.1","",".","",".",".",".",".","."
"Special","","23","3.746","60.9","13.0","17.4",".",".",".","",".","8.7","",".",".","",".","",".",".",".",".","."
"Graduate","","393","3.859","65.9","15.8","3.8","0.8",".",".","",".","13.5","",".",".","",".","",".","0.3",".",".","."
"Prof Yr 1","","3","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","","2","",".",".",".",".",".",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","2","3.100","50.0",".",".","50.0",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","7","3.591","57.1",".",".","14.3",".",".","",".","28.6","",".",".","",".","",".",".",".",".","."
"","Dept. Total","1427","3.771","64.4","22.2","7.2","1.5","0.2","0.1","",".","4.2","",".","0.1","",".","",".","0.1",".",".","."
