"MED","","","","","","","","","","","","","","","","","","","","","","",""
"PATHOLOGY AND LABORATOR","Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","","","","",""
"PATH
704","Dept. Total","679","3.246","25.3","22.8","28.3","10.3","5.0","2.7","",".","5.2","0.1",".","",".","",".","",".",".","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","13","2.769","15.4","30.8","7.7","15.4","15.4","15.4","",".",".",".",".","",".","",".","",".",".",".","."
"Junior","","134","2.842","11.9","20.9","26.1","22.4","11.2","7.5","",".",".",".",".","",".","",".","",".",".",".","."
"Senior","","110","3.035","13.6","28.2","30.9","14.5","8.2","4.5","",".",".",".",".","",".","",".","",".",".",".","."
"Undergraduates","","257","2.919","12.8","24.5","27.2","18.7","10.1","6.6","",".",".",".",".","",".","",".","",".",".",".","."
"Special","","14","3.146","28.6","7.1","21.4","14.3","7.1",".","",".","7.1",".",".","",".","",".","",".",".","14.3","."
"Graduate","","143","3.449","32.2","20.3","21.7","2.1",".",".","",".","23.1","0.7",".","",".","",".","",".",".",".","."
"Prof Yr 1","","270","3.443","37.0","22.2","31.5","6.3","2.6","0.4","",".",".",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","4","3.423","25.0","25.0","50.0",".",".",".","",".",".",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","4","3.500","25.0","25.0","25.0",".",".",".","",".","25.0",".",".","",".","",".","",".",".",".","."
"Professionals","","278","3.443","36.7","22.3","31.7","6.1","2.5","0.4","",".","0.4",".",".","",".","",".","",".",".",".","."
"","Dept. Total","692","3.246","26.7","22.4","27.7","10.1","4.9","2.6","",".","5.1","0.1",".","",".","",".","",".",".","0.3","."
