"ALS","","","","","","","","","","","","","","","","","","","","","",""
"PLANT PATHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","",""
"766
PL PATH","","","","","","","","","","","","","","","","","","","","","",""
"PL PATH
766","Dept. Total","","99","3.337","27.3","12.1","8.1","3.0","2.0","1.0","1.0","37.4","1.0",".","",".","7.1","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","",""
"766
PL PATH","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","2","3.000",".","50.0",".","50.0",".",".",".",".",".",".","",".",".","",".",".",".","."
"Sophomore","","","7","3.053","42.9","14.3","14.3","14.3",".","14.3",".",".",".",".","",".",".","",".",".",".","."
"Junior","","","7","2.929",".","42.9","28.6","14.3","14.3",".",".",".",".",".","",".",".","",".",".",".","."
"Senior","","","18","3.349","44.4","27.8","16.7",".","5.6",".","5.6",".",".",".","",".",".","",".",".",".","."
"Undergraduates","","","34","3.163","32.4","29.4","17.6","8.8","5.9","2.9","2.9",".",".",".","",".",".","",".",".",".","."
"Special","","","1","3.000",".",".","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".","."
"Graduate","","","64","3.824","25.0","3.1","1.6",".",".",".",".","57.8","1.6",".","",".","10.9","",".",".",".","."
"","Dept. Total","","99","3.337","27.3","12.1","8.1","3.0","2.0","1.0","1.0","37.4","1.0",".","",".","7.1","",".",".",".","."
