"RELIGIOUS STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","","",""
"Westrn Relig&Intellect Hist","208","001","32","3.100","6.3","31.3","46.9","6.3",".",".","3.1",".",".",".",".",".","3.1","3.1",".","."
"Genres-Westrn Relig Writing","234","001","39","3.590","41.0","41.0","15.4",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"Biblical Poetry in Translation","237","001","16","2.844","6.3","37.5","18.8","18.8","6.3","12.5",".",".",".",".",".",".",".",".",".","."
"Civs of India-Classical Per","251","001","25","3.180","12.0","40.0","40.0","4.0",".",".","4.0",".",".",".",".",".",".",".",".","."
"Social&Intel Hist 1200-1450","318","001","6","3.079",".","50.0","16.7",".","16.7",".",".",".",".",".",".",".",".","16.7",".","."
"Prophets of the Bible","332","001","106","3.505","38.7","33.0","18.9","5.7","0.9","0.9",".","0.9",".",".",".",".",".",".","0.9","."
"Christian Lit:Matthew-Revelatn","333","001","56","3.500","44.6","25.0","17.9","1.8","3.6",".","1.8","5.4",".",".",".",".",".",".",".","."
"Jewish Lit: Greco-Roman Period","346","001","17","2.969","29.4","11.8","17.6","17.6","11.8",".","5.9",".",".",".",".",".",".","5.9",".","."
"Introduction to Taoism","350","001","34","3.481","32.4","29.4","23.5","8.8",".",".",".","2.9",".",".",".",".",".",".","2.9","."
"Shamanism","352","001","34","3.676","50.0","41.2","5.9",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"Bible in the Middle Ages","368","001","11","3.545","36.4","45.5","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Jewish Cultural History","377","001","47","3.543","51.1","31.9","6.4","2.1","2.1","2.1","2.1","2.1",".",".",".",".",".",".",".","."
"Islam in Iran","379","001","24","3.318","25.0","45.8","8.3","4.2","4.2",".","4.2","4.2",".",".",".",".",".","4.2",".","."
"Topics in Relig St-Soc Studies","401","001","7","3.478","85.7",".",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"Jewish Philos:Antiquity-17c","435","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Buddhism&Soc-SE Asian Hist","438","001","12","3.125","8.3","33.3","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Religion-Ancient Mediterranean","517","001","9","2.833",".","22.2","22.2","55.6",".",".",".",".",".",".",".",".",".",".",".","."
"Buddhism and Literature","576","001","8","3.786","50.0","37.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".","."
"Religion-Critical Perspective","600","001","22","2.864","4.5","13.6","45.5","22.7","13.6",".",".",".",".",".",".",".",".",".",".","."
"Soc Structrs-Muslim Society","614","001","11","3.222","27.3","9.1","27.3","9.1","9.1",".",".","18.2",".",".",".",".",".",".",".","."
"Yoga: Methods and Goals","623","001","13","3.136","7.7","30.8","30.8","7.7","7.7",".",".","15.4",".",".",".",".",".",".",".","."
"Gods & Goddesses of South Asia","626","001","14","3.464","7.1","78.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Colloquium for Majors","695","001","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","697","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","011","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","045","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","7","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research for Major","","Course Total","18","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
