"ANATOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"144
ANATOMY","","","","","","","","","","","","","","","","","","","",""
"328
Human Anatomy","001","","481","2.947","24.1","14.8","24.7","15.4","12.9","5.6","1.7","0.8",".",".",".",".",".",".",".","."
"329","001","","63","3.659","66.7","14.3","11.1","3.2","3.2","1.6",".",".",".",".",".",".",".",".",".","."
"329","002","","65","3.608","60.0","18.5","13.8","4.6",".","3.1",".",".",".",".",".",".",".",".",".","."
"329","003","","62","3.754","67.7","21.0","4.8","1.6","3.2",".",".","1.6",".",".",".",".",".",".",".","."
"Human Anatomy-Kinesiology","Course Total","","190","3.672","64.7","17.9","10.0","3.2","2.1","1.6",".","0.5",".",".",".",".",".",".",".","."
"575
Biological Processes-Aging","001","","13","3.125","7.7","23.1","53.8",".","7.7",".",".",".",".",".",".",".",".",".","7.7","."
"619
Microscopy of Life","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"675
Topics in Anatomy","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","058","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","25","3.926","88.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"700
Cytoskeletal Dynamics","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"722
Clinicl Anatomy & Radiology","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","16","",".",".",".",".",".",".",".","87.5",".",".",".","12.5",".",".",".","."
