"LANGUAGES & CULTURES OF A Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"521
LCA","","","","","","","","","","","","","","","","","","","",""
"100
Intro to Cultures of Asia","001","","197","3.814","77.2","15.7","3.0","1.0","2.0",".","0.5","0.5",".",".",".",".",".",".",".","."
"244
SE Asia:Vietnam to Philipns","001","","10","3.111","20.0","40.0","20.0",".",".",".","10.0","10.0",".",".",".",".",".",".",".","."
"251
Civs of India-Classical Per","001","","17","3.467","35.3","29.4","5.9","17.6",".",".",".","5.9",".",".",".",".",".","5.9",".","."
"265
Cen Asia: Silk Route-Afghan","001","","75","3.412","30.7","36.0","24.0","5.3","1.3",".","1.3",".",".",".",".",".",".",".","1.3","."
"279
Intro to Turkish Folk Lit","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"300","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"300","002","","16","3.125","18.8","37.5","31.3",".","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"300","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"300","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in LCA","Course Total","","23","3.217","26.1","34.8","21.7","8.7","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"312
Classical Indian Literatures","001","","17","3.867","70.6","11.8","5.9",".",".",".",".","5.9",".",".",".",".",".","5.9",".","."
"373
Urdu Prose Fict-India&Pakistan","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"404
Southeast Asian Literature","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"430
Language and Culture","001","","6","3.650","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"438
Buddhism&Soc-SE Asian Hist","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"448
History of Medieval India","001","","6","3.722","50.0","16.7","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"524
Indian Writers Abroad","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"576
Buddhism and Literature","001","","15","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"579
Fiction&Ethnography in Turkey","001","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"614
Soc Structrs-Muslim Society","001","","12","3.455","41.7","16.7","25.0",".","8.3",".",".","8.3",".",".",".",".",".",".",".","."
"623
Yoga: Methods and Goals","001","","6","3.333","16.7","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"626
Gods & Goddesses of South Asia","001","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"630","001","","15","3.667","53.3","33.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"630","002","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar: Cultures of Asia","Course Total","","23","3.717","56.5","34.8","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"699","000A","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","000B","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","4","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","15","3.722","46.7","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"706
Smr:Topics in Hist of Buddhism","001","","11","3.455","72.7",".","18.2",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"799","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
