"PHILOSOPHY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","",""
"541
Modern Ethical Theories","001","","21","3.571","42.9","33.3","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"543
Special Topics in Ethics","001","","23","3.548","47.8","13.0","26.1",".","4.3",".",".","8.7",".",".",".",".",".",".",".","."
"550
Philos of Moral Education","001","","18","3.382","22.2","38.9","22.2","11.1",".",".",".","5.6",".",".",".",".",".",".",".","."
"551
Philosophy of Mind","001","","21","3.310","23.8","28.6","33.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"555
Political Philosophy","001","","19","3.333","21.1","31.6","36.8",".","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"557
Issues in Social Philosophy","001","","21","3.667","38.1","57.1","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"558
Ethical Probs-Biomed Tech","001","","26","3.231","15.4","46.2","26.9","7.7",".",".","3.8",".",".",".",".",".",".",".",".","."
"562
Spec Topics in Metaphysics","001","","15","3.167","26.7","26.7","33.3","6.7",".",".","6.7",".",".",".",".",".",".",".",".","."
"582
Senior Honors Seminar","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","3.550","50.0",".","16.7","16.7",".",".",".","16.7",".",".",".",".",".",".",".","."
"682","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"691
Senior Thesis","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"799","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","9","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"903
Seminar: Epistemology","001","","11","4.000","81.8",".",".",".",".",".",".",".",".",".",".",".","9.1",".","9.1","."
"911
Seminar-Logic","001","","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"941
Seminar-Ethics","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"951
Seminar-Philosophy of Mind","001","","8","3.857","62.5","25.0",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"953
Aesthetics Seminar","001","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"960
Metaphysics Seminar","001","","9","3.786","55.6","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","22.2","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","7","",".",".",".",".",".",".",".","14.3",".",".",".","85.7",".",".",".","."
"990","033","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 270 of 396",""
