"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","",""
"EDU","College Total","11440","3.719","57.2","15.4","7.3","2.1","1.8","0.5","0.4","8.7","0.1","5.1","0.0","0.5","0.6","0.2","0.1","0.0"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"EDU","","Grades","GPA","","","","","","","","","","","","","","","",""
"Freshmen","","598","3.439","50.5","21.4","12.2","3.5","6.9","2.0","1.0","2.0",".",".",".",".",".","0.3","0.2","."
"Sophomore","","1169","3.538","51.9","23.4","12.5","4.4","3.9","1.1","0.5","1.8","0.1",".",".",".",".","0.3","0.2","."
"Junior","","1957","3.650","54.8","21.0","10.2","2.8","1.8","0.6","0.5","2.6",".","5.4",".",".","0.1","0.2","0.1","."
"Senior","","4849","3.734","57.0","15.0","7.1","2.1","1.5","0.4","0.4","7.4","0.1","8.9","0.0",".","0.1","0.0","0.0","."
"Undergraduates","","8573","3.668","55.4","18.0","8.9","2.6","2.3","0.6","0.4","5.1","0.1","6.3","0.0",".","0.1","0.1","0.1","."
"Special","","564","3.847","65.1","9.8","2.3","0.4","1.2",".","0.4","14.4","0.2","4.1",".",".","0.7",".","1.4","0.2"
"Graduate","","2253","3.905","62.9","7.2","2.3","0.5","0.3","0.0","0.2","19.9","0.0","1.2",".","2.6","2.4","0.4","0.0","."
"Prof Yr 1","","8","4.000","37.5",".",".",".",".",".",".","62.5",".",".",".",".",".",".",".","."
"Prof Yr 2","","14","3.350","14.3","28.6","7.1","7.1",".",".",".","35.7",".",".",".",".","7.1",".",".","."
"Prof Yr 3","","26","3.714","38.5","3.8","7.7","3.8","3.8",".",".","42.3",".",".",".",".",".",".",".","."
"Prof Yr 4","","2","2.500",".",".",".","50.0",".",".",".","50.0",".",".",".",".",".",".",".","."
"Professionals","","50","3.564","30.0","10.0","6.0","6.0","2.0",".",".","44.0",".",".",".",".","2.0",".",".","."
"","College Total","11440","3.719","57.2","15.4","7.3","2.1","1.8","0.5","0.4","8.7","0.1","5.1","0.0","0.5","0.6","0.2","0.1","0.0"
