"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","157","3.339","27.4","33.8","24.2","8.9","3.2","0.6","0.6","1.3",".",".",".",".",".",".",".","."
"","002
301","60","3.942","88.3","11.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Abilities & Learning","Course Total","217","3.507","44.2","27.6","17.5","6.5","2.3","0.5","0.5","0.9",".",".",".",".",".",".",".","."
"","320
001","179","3.360","34.6","30.7","16.2","11.2","6.1","1.1",".",".",".",".",".",".",".",".",".","."
"","002
320","106","3.490","47.2","20.8","19.8","6.6","3.8","0.9",".","0.9",".",".",".",".",".",".",".","."
"Human Dev-Infancy&Childhood","Course Total","285","3.408","39.3","27.0","17.5","9.5","5.3","1.1",".","0.4",".",".",".",".",".",".",".","."
"Human Develop-Adolescence","321
001","187","3.508","47.1","21.4","16.0","8.0","2.7","1.1",".","3.7",".",".",".",".",".",".",".","."
"","699
013","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
057","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","5","***","","","","","","","","","","","","","","","",""
"Seminar-Research in Ed Psyc II","710
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
005","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","16","3.957","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adolescent Development","721
001","21","4.000","85.7",".",".",".",".",".",".","4.8",".",".",".",".","4.8","4.8",".","."
"Adult Development and Aging","722
001","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Assessment Tech-Schools I","740
001","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".",".","14.3",".","."
"Assessment Tech-Schools II","741
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Lrng&Lang Disability-Chldrn","742
001","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","761
001","41","3.641","43.9","34.1","17.1",".",".",".",".",".",".",".",".",".","4.9",".",".","."
"","761
002","25","3.840","80.0","8.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth-Applied to Ed II","Course Total","66","3.719","57.6","24.2","15.2",".",".",".",".",".",".",".",".",".","3.0",".",".","."
"Scaling, Factr&Cluster Anal","773
001","28","3.926","82.1","14.3",".",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"Cognition&Classrm Learng II","796
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","840
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Pract-School Psych","Course Total","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychophm Treat-Chld&Adolescnt","845
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Test Theory II","871
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Child Development","920
002","9","3.750","44.4","44.4",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Internshp-School Psychology","943
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr in School Psychology","948
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Statistics & Rsch Dsgn","961
001","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
013","6","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
"","990
014","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
017","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
019","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
022","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
023","3","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 95 of 396"
