"ZOOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","",""
"470
Intro to Animal Development","001","","148","2.916","29.7","10.8","23.0","8.8","18.9","6.1","2.7",".",".",".",".",".",".",".",".","."
"473
Plant-Insect Interactions","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"510
Ecology of Fishes","001","","71","2.930","16.9","5.6","50.7","5.6","18.3","2.8",".",".",".",".",".",".",".",".",".","."
"511","001","","16","3.375","31.3","25.0","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"511","002","","20","3.450","35.0","30.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Ecology of Fishes Lab","Course Total","","36","3.417","33.3","27.8","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"520
Ornithology","001","","81","2.897","29.6","8.6","18.5","8.6","23.5","6.2","1.2","2.5",".",".",".",".",".","1.2",".","."
"521","006","","6","3.500","33.3","16.7","33.3",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"521","007","","16","3.219","25.0","37.5","12.5","6.3","18.8",".",".",".",".",".",".",".",".",".",".","."
"521","008","","9","2.813","33.3","22.2",".","11.1",".","11.1","11.1","11.1",".",".",".",".",".",".",".","."
"521","009","","12","2.333","8.3","25.0","8.3","8.3","33.3",".","16.7",".",".",".",".",".",".",".",".","."
"Field Ornithology","Course Total","","43","2.915","23.3","27.9","11.6","7.0","16.3","2.3","7.0","4.7",".",".",".",".",".",".",".","."
"524
Neurobi II:Intr-Brain&Behav","001","","38","3.306","44.7","15.8","7.9","10.5","13.2","2.6",".","5.3",".",".",".",".",".",".",".","."
"548
Ecology of Rivers and Streams","001","","19","2.972","31.6","5.3","31.6",".","21.1",".","5.3","5.3",".",".",".",".",".",".",".","."
"611
Comparatv&Evolutionry Physiol","001","","69","3.140","39.1","21.7","20.3","2.9","2.9","2.9","8.7","1.4",".",".",".",".",".",".",".","."
"612
Comparative Physiology Lab","001","","16","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"619
Biology of Mind","001","","43","3.581","39.5","39.5","18.6","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"651
Conservation Biology","001","","16","3.688","68.8","12.5","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"677
Internship in Ecology","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"680","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"680","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honors Seminar","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"682","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","065","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","067","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","11","3.878","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"691","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"692
Senior Thesis","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","12","3.889","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
