"","699
014","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
020","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Directed Reading","Course Total","4","***","","","","","","","","","","","","","","","","","","",""
"Art & Archaeology-Ancient Rome","704
001","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"CLASSICS
244","Dept. Total","576","3.305","34.7","24.0","20.0","8.5","6.3","2.1","0.9","2.6","",".",".","",".","",".","0.2","0.5","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","46","3.109","32.6","28.3","10.9","10.9","8.7","4.3","4.3",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","163","3.287","30.7","23.9","28.2","8.6","6.7","0.6","0.6","0.6","",".",".","",".","",".",".",".",".","."
"Junior","","188","3.299","34.6","24.5","20.2","8.5","7.4","2.1","0.5","1.6","",".",".","",".","",".","0.5",".",".","."
"Senior","","167","3.362","38.3","23.4","15.6","8.4","4.2","3.0","0.6","6.0","",".",".","",".","",".",".","0.6",".","."
"Undergraduates","","564","3.297","34.4","24.3","20.4","8.7","6.4","2.1","0.9","2.5","",".",".","",".","",".","0.2","0.2",".","."
"Special","","6","3.500",".","16.7",".",".",".",".",".","16.7","",".",".","",".","",".",".","33.3","33.3","."
"Graduate","","6","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","576","3.305","34.7","24.0","20.0","8.5","6.3","2.1","0.9","2.6","",".",".","",".","",".","0.2","0.5","0.3","."
