"","999
069","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","999
071","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","999
086","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","999
098","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Adv Ind Work-Applied Music","Course Total","40","3.939","87.5","7.5","2.5",".",".",".",".","2.5","",".",".","",".","",".","",".",".",".","."
"MUS PERF
664","Dept. Total","513","3.856","77.8","14.6","6.4","0.2","0.2","0.2","0.2","0.4","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","33","3.627","48.5","33.3","18.2",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","76","3.815","72.4","19.7","7.9",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","80","3.801","75.0","18.8","5.0",".",".",".","1.3",".","",".",".","",".","",".","",".",".",".","."
"Senior","","159","3.865","78.0","10.7","9.4","0.6","0.6",".",".","0.6","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","348","3.820","73.3","16.7","8.9","0.3","0.3",".","0.3","0.3","",".",".","",".","",".","",".",".",".","."
"Special","","10","3.969","90.0","10.0",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","155","3.910","87.1","10.3","1.3",".",".","0.6",".","0.6","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","513","3.856","77.8","14.6","6.4","0.2","0.2","0.2","0.2","0.4","",".",".","",".","",".","",".",".",".","."
