"ENGR MECHANICS & ASTRONA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","203","2.800","16.3","5.4","43.3","10.8","16.3","6.4","1.5",".",".",".",".",".",".",".",".","."
"","201
002","88","2.585","11.4","1.1","40.9","18.2","15.9","9.1","3.4",".",".",".",".",".",".",".",".","."
"Statics","Course Total","291","2.735","14.8","4.1","42.6","13.1","16.2","7.2","2.1",".",".",".",".",".",".",".",".","."
"","202
001","76","2.454","5.3","7.9","25.0","25.0","25.0","9.2","2.6",".",".",".",".",".",".",".",".","."
"","003
202","31","2.710","16.1","3.2","29.0","29.0","16.1","3.2","3.2",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","107","2.528","8.4","6.5","26.2","26.2","22.4","7.5","2.8",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","001
303","98","2.990","14.3","26.5","22.4","24.5","9.2","2.0","1.0",".",".",".",".",".",".",".",".","."
"","307
001","7","3.286","28.6","14.3","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","9","3.556","44.4","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","307
003","7","3.357","28.6","42.9",".","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"","307
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
005","11","3.182","9.1","36.4","45.5",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","307
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","007
307","6","3.250","33.3","16.7","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","307
008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","51","3.314","27.5","31.4","25.5","7.8","7.8",".",".",".",".",".",".",".",".",".",".","."
"Practicum-Finite Elements","405
001","26","2.827","15.4","23.1","23.1","11.5","19.2","3.8","3.8",".",".",".",".",".",".",".",".","."
"","508
001","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","508
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Composite Materials","Course Total","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fracture Mechanics","519
001","10","3.300","20.0","40.0","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Mechanical Vibrations","545
001","40","3.363","40.0","10.0","40.0","7.5",".","2.5",".",".",".",".",".",".",".",".",".","."
"Engineering Analysis II","548
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Astrodynamics","550
001","26","3.250","23.1","19.2","46.2","7.7","3.8",".",".",".",".",".",".",".",".",".",".","."
"Senior Design Project","569
001","18","3.694","38.9","61.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
002","6","3.800","50.0","33.3",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","601
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics: Engr Mech","Course Total","23","3.857","73.9","8.7","8.7",".",".",".",".","8.7",".",".",".",".",".",".",".","."
"Adv Mech Testing-Materials","611
001","20","3.605","40.0","45.0","5.0",".","5.0",".",".",".",".",".",".",".","5.0",".",".","."
"Satellite Dynamics","642
001","14","2.857","14.3","14.3","35.7","14.3","14.3","7.1",".",".",".",".",".",".",".",".",".","."
"","699
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
045","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","2","***","","","","","","","","","","","","","","","",""
"Theory of Elasticity","001
700","11","3.136","18.2","36.4","27.3","9.1",".","9.1",".",".",".",".",".",".",".",".",".","."
"","790
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
014","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","790
045","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","890
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
