"L&S","","","","","","","","","","","","","","","","","","","","",""
"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"STAT
932","Dept. Total","1785","3.229","34.9","19.8","22.1","8.0","7.8","2.2","2.2","2.6","",".",".","",".","0.2","0.1","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","38","3.000","18.4","13.2","42.1","7.9","15.8","2.6",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","290","3.067","26.2","19.3","25.2","13.1","11.4","2.4","2.1",".","",".",".","",".",".",".","0.3",".","."
"Junior","","518","3.058","26.8","16.8","29.2","11.6","9.7","3.3","2.7",".","",".",".","",".",".",".",".",".","."
"Senior","","444","3.095","31.5","18.2","23.9","8.3","9.9","3.2","3.6","0.9","",".",".","",".",".","0.5",".",".","."
"Undergraduates","","1290","3.071","28.1","17.8","26.8","10.7","10.3","3.0","2.8","0.3","",".",".","",".",".","0.2","0.1",".","."
"Special","","15","2.957","40.0","6.7","26.7","6.7","6.7",".","13.3",".","",".",".","",".",".",".",".",".","."
"Graduate","","369","3.707","53.9","22.5","9.2","0.5","0.5",".","0.3","11.4","",".",".","",".","1.1",".",".","0.5","."
"Prof Yr 1","","103","3.641","48.5","37.9","9.7","1.0","2.9",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 2","","2","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","","6","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","111","3.661","50.5","36.9","9.0","0.9","2.7",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","1785","3.229","34.9","19.8","22.1","8.0","7.8","2.2","2.2","2.6","",".",".","",".","0.2","0.1","0.1","0.1","."
